Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: sorted_clean_P.capsici_isolate_WB2_Final_HiC.fasta.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
DNA/MULE-MuDR	Pcap_408	19814	19521	17.36
DNA/MULE-MuDR	Pcap_410	14069	13747	20.04
DNA/MULE-MuDR	Pcap_411	17240	16718	30.51
DNA/MULE-MuDR	Pcap_427	9867	9717	20.20
DNA/MULE-MuDR	Pcap_455	20874	20799	3.41
DNA/MULE-MuDR	Pcap_484	35649	35130	24.83
DNA/MULE-MuDR	Pcap_489	34132	34066	2.27
DNA/Maverick	Maverick-2_AstCal	295	295	25.52
DNA/Maverick	Pcap_319	30182	30079	5.87
DNA/Maverick	Pcap_341	52921	51676	24.13
DNA/Maverick	Pcap_421	9700	9635	7.88
DNA/Merlin	DF003449125	270	270	26.86
DNA/Merlin	DNA8-21_DR	29	29	19.85
DNA/Merlin	Pcap_259	59531	57950	23.85
DNA/PIF-HarbS	Pcap_500	67864	66557	29.15
DNA/PIF-Harbinger	Acol_PIF_Ele10	2250	2169	46.56
DNA/PIF-Harbinger	Acol_PIF_Ele2	103	103	15.85
DNA/PIF-Harbinger	DF003449516	533	533	14.91
DNA/PIF-Harbinger	DNA-3-1_DR	80	78	27.68
DNA/PIF-Harbinger	Harbinger-1_DR	279	275	35.76
DNA/PIF-Harbinger	Harbinger-5_DR	110	105	36.41
DNA/PIF-Harbinger	PIF-Harbinger-7_AstCal	43	43	15.98
DNA/PIF-Harbinger	PIF-Harbinger-8_AstCal	54	52	19.72
DNA/PIF-Harbinger	PIF-Harbinger_A.i.concentricus_2	3818	3734	41.58
DNA/PIF-Harbinger	PIF-Harbinger_C.gigas_12	1816	1763	44.53
DNA/PIF-Harbinger	PIF-Harbinger_C.gigas_17	47	47	22.11
DNA/PIF-Harbinger	PIF-Harbinger_M.edulis_34	59	59	24.43
DNA/PIF-Harbinger	PIF-Harbinger_R.philippinarum_5	51	51	18.08
DNA/PIF-Harbinger	PIF-Harbinger_S.constricta_37	4204	3996	29.19
DNA/PIF-Harbinger	PIF-Harbinger_S.constricta_38	101	94	32.03
DNA/PIF-Harbinger	PIF-Harbinger_S.grandis_32	61	61	26.90
DNA/PIF-Harbinger	PIF-Harbinger_T.granosa_15	16	12	20.89
DNA/PIF-Harbinger	PIF-Harbinger_T.granosa_16	47	47	17.02
DNA/PIF-Harbinger	Pcap_276	39616	38687	26.00
DNA/PIF-Harbinger	Pcap_294	25142	24827	7.13
DNA/PIF-Harbinger	Pcap_416	78165	76127	11.26
DNA/PIF-Harbinger	Pcap_433	12722	12526	15.88
DNA/PIF-Harbinger	Pcap_498	11844	11672	7.14
DNA/PIF-Harbinger	TE0298_SO2_FAM1295	69	64	24.15
DNA/PIF-Harbinger	TE2354_SO2_FAM0415	63	63	32.16
DNA/PIF-ISL2EU	PIF-Harbinger_C.virginica_6	72	72	28.46
DNA/PIF-Spy	PIF-Harbinger_M.mercenaria_10	77	76	34.96
DNA/PIF-Spy	PIF-Harbinger_R.philippinarum_7	51	49	18.68
DNA/PiggyBac	Acol_piggyBac_Ele5	262	258	29.68
DNA/PiggyBac	Acol_piggyBac_Ele7	33	33	3.45
DNA/PiggyBac	MacSob-1.153	57	57	27.80
DNA/PiggyBac	Pcap_158	50268	48513	30.58
DNA/PiggyBac	Pcap_230	126924	118969	25.47
DNA/PiggyBac	Pcap_238	91811	90562	22.58
DNA/PiggyBac	Pcap_256	69549	65260	25.09
DNA/PiggyBac	Pcap_263	73535	71731	23.03
DNA/PiggyBac	Pcap_282	31404	29420	18.42
DNA/PiggyBac	Pcap_285	93415	91788	24.80
DNA/PiggyBac	Pcap_296	33043	31656	21.76
DNA/PiggyBac	Pcap_307	82503	81941	11.85
DNA/PiggyBac	Pcap_308	22361	22172	22.92
DNA/PiggyBac	Pcap_311	29936	29517	26.95
DNA/PiggyBac	Pcap_317	7268	6189	32.75
DNA/PiggyBac	Pcap_320	30915	29907	25.35
DNA/PiggyBac	Pcap_321	25404	25070	26.02
DNA/PiggyBac	Pcap_365	14271	14052	20.73
DNA/PiggyBac	Pcap_372	61679	60783	18.77
DNA/PiggyBac	Pcap_382	12301	12094	8.42
DNA/PiggyBac	Pcap_394	10672	10323	13.98
DNA/PiggyBac	Pcap_422	11068	10913	15.17
DNA/PiggyBac	Pcap_423	15303	15153	15.35
DNA/PiggyBac	Pcap_439	8947	8933	9.11
DNA/PiggyBac	Pcap_449	18412	17905	23.33
DNA/PiggyBac	PiggyBac-1_AstCal	43	43	21.51
DNA/PiggyBac	PiggyBac_A.marissinica_176	65	65	33.70
DNA/PiggyBac	PiggyBac_A.marissinica_178	46	44	19.00
DNA/PiggyBac	PiggyBac_A.marissinica_182	2282	2280	25.55
DNA/PiggyBac	PiggyBac_P.maximus_18	38	38	11.37
DNA/PiggyBac	piggyBac-1_DR	49	48	22.07
DNA/Sola-1	Pcap_156	3048	3001	14.88
DNA/Sola-1	Pcap_428	9840	9713	25.25
DNA/Sola-1	Pcap_497	28664	27895	29.30
DNA/Sola-1	Sola1_A.kagoshimensis_21	57	56	16.63
DNA/Sola-1	TDR17B	100	100	27.30
DNA/TcMar	TE2711_SO2_FAM0782	40	39	30.40
DNA/TcMar	TcMar_T.granosa_37	77	75	27.28
DNA/TcMar-Ant1	Pcap_386	27032	26798	22.54
DNA/TcMar-Ant1	Pcap_399	18327	18150	21.80
DNA/TcMar-Cweed	Pcap_424	10799	10681	18.12
DNA/TcMar-Fot1	Halyomorpha_halys-6_family-31	247	246	23.30
DNA/TcMar-Fot1	TE1521_SO2_FAM2475	81	79	25.35
DNA/TcMar-Fot1	TE2384_SO2_FAM0446	59	59	39.50
DNA/TcMar-Fot1	TE2475_SO2_FAM0537	374	358	33.09
DNA/TcMar-Fot1	TE2776_SO2_FAM0850	96	96	25.14
DNA/TcMar-Fot1	TcMar_C.sinensis_10	249	249	31.74
DNA/TcMar-Fot1	TcMar_M.mercenaria_15	398	394	41.64
DNA/TcMar-Fot1	TcMar_M.mercenaria_18	43	43	25.21
DNA/TcMar-Fot1	TcMar_M.mercenaria_31	50	50	15.50
DNA/TcMar-Fot1	TcMar_R.philippinarum_14	46	46	23.55
DNA/TcMar-Fot1	TcMar_S.constricta_48	74	74	22.12
DNA/TcMar-Fot1	TcMar_T.granosa_41	-28	-34	100
DNA/TcMar-ISRm11	Pcap_398	14291	14141	17.48
DNA/TcMar-ISRm11	TcMar-ISRm11-4_AstCal	173	164	32.26
DNA/TcMar-ISRm11	TcMar-ISRm11-7_AstCal	115	110	29.60
DNA/TcMar-ISRm11	TcMar_P.fucata_4	55	54	12.84
DNA/TcMar-Mariner	DF003448217	94	94	28.60
DNA/TcMar-Mariner	DF003449079	156	156	13.60
DNA/TcMar-Mariner	Pcap_315	12775	12600	16.35
DNA/TcMar-Mariner	TcMar_M.mercenaria_32	65	64	30.94
DNA/TcMar-Pogo	Halyomorpha_halys-6_family-2618	115	115	40.93
DNA/TcMar-Pogo	POGO	84	84	22.58
DNA/TcMar-Pogo	Pcap_149	13142	12952	8.34
DNA/TcMar-Pogo	Pcap_174	11272	11077	24.99
DNA/TcMar-Pogo	Pcap_325	24658	24564	6.10
DNA/TcMar-Pogo	TcMar_C.ariakensis_16	64	63	30.21
DNA/TcMar-Pogo	TcMar_C.virginica_15	3147	3027	47.21
DNA/TcMar-Pogo	TcMar_M.nervosa_51	86	86	12.92
DNA/TcMar-Pogo	TcMar_M.nervosa_56	276	244	44.99
DNA/TcMar-Pogo	TcMar_M.nervosa_58	142	132	47.85
DNA/TcMar-Pogo	TcMar_M.phylippinarum_21	80	74	19.05
DNA/TcMar-Pogo	TcMar_P.fucata_2	269	244	40.91
DNA/TcMar-Pogo	TcMar_P.streckersoni_31	35	35	12.44
DNA/TcMar-Pogo	TcMar_R.philippinarum_37	26	22	32.18
DNA/TcMar-Pogo	TcMar_S.broughtoni_19	245	245	29.06
DNA/TcMar-Pogo	TcMar_S.broughtoni_22	261	252	48.16
DNA/TcMar-Pogo	TcMar_S.constricta_43	125	113	42.74
DNA/TcMar-Pogo	TcMar_S.grandis_51	125	125	37.45
DNA/TcMar-Pogo	TcMar_T.granosa_36	1166	1106	42.23
DNA/TcMar-Stowaway	Pcap_438	17570	17446	14.58
DNA/TcMar-Tc1	CraTho-1.189	70	70	33.70
DNA/TcMar-Tc1	DF003447555	53	51	28.38
DNA/TcMar-Tc1	DF003448571	167	161	20.42
DNA/TcMar-Tc1	DF003448881	234	233	41.96
DNA/TcMar-Tc1	DF003449128	191	190	33.87
DNA/TcMar-Tc1	DF003449329	21	18	38.46
DNA/TcMar-Tc1	DF003449409	-50	-52	100
DNA/TcMar-Tc1	DF003449805	66	66	25.98
DNA/TcMar-Tc1	DF003449991	17	17	33.37
DNA/TcMar-Tc1	MINOS	75	73	41.88
DNA/TcMar-Tc1	Mariner-10_DR	163	152	29.43
DNA/TcMar-Tc1	Mariner-N17_DR	140	140	33.46
DNA/TcMar-Tc1	OtoGar-5.851	63	59	19.45
DNA/TcMar-Tc1	RhiSin-6.1638	59	59	31.05
DNA/TcMar-Tc1	TE0181_SO2_FAM1178	93	92	39.13
DNA/TcMar-Tc1	TE0282_SO2_FAM1279	100	100	32.43
DNA/TcMar-Tc1	TE2727_SO2_FAM0799	460	433	38.42
DNA/TcMar-Tc1	TE3237_SO2_FAM035	92	87	31.32
DNA/TcMar-Tc1	TZF28C	116	112	37.99
DNA/TcMar-Tc1	Tc3	677	647	30.08
DNA/TcMar-Tc1	Tc6	173	168	30.66
DNA/TcMar-Tc1	TcMar-Tc1-10_AstCal	-87	-90	100
DNA/TcMar-Tc1	TcMar_A.kagoshimensis_37	87	82	25.99
DNA/TcMar-Tc1	TcMar_A.marissinica_193	39	39	12.21
DNA/TcMar-Tc1	TcMar_A.marissinica_209	69	69	32.24
DNA/TcMar-Tc1	TcMar_A.marissinica_216	56	56	26.33
DNA/TcMar-Tc1	TcMar_B.platifrons_51	36	36	16.89
DNA/TcMar-Tc1	TcMar_B.platifrons_55	36	36	12.40
DNA/TcMar-Tc1	TcMar_B.platifrons_67	65	63	20.26
DNA/TcMar-Tc1	TcMar_C.farreri_9	77	74	31.84
DNA/TcMar-Tc1	TcMar_C.sinensis_36	87	87	30.22
DNA/TcMar-Tc1	TcMar_C.virginica_18	48	48	25.86
DNA/TcMar-Tc1	TcMar_C.virginica_19	92	87	30.05
DNA/TcMar-Tc1	TcMar_L.fortunei_19	146	131	44.55
DNA/TcMar-Tc1	TcMar_M.phylippinarum_19	74	74	30.83
DNA/TcMar-Tc1	TcMar_M.yessoensis_11	73	72	26.76
DNA/TcMar-Tc1	TcMar_R.philippinarum_38	77	70	19.56
DNA/TcMar-Tc1	TcMar_S.constricta_59	126	122	30.05
DNA/TcMar-Tc1	TcMar_S.grandis_42	80	79	44.36
DNA/TcMar-Tc1	TcMar_T.granosa_33	126	123	35.53
DNA/TcMar-Tc2	EchTel-5.446	78	78	35.60
DNA/TcMar-Tc2	Pcap_271	36676	36105	23.00
DNA/TcMar-Tc2	Pcap_323	22055	21467	18.79
DNA/TcMar-Tc2	Pcap_343	16923	16338	25.96
DNA/TcMar-Tc2	Pcap_376	24083	23779	23.87
DNA/TcMar-Tc2	Pcap_381	47738	47572	4.51
DNA/TcMar-Tc2	Pcap_445	16056	15832	22.77
DNA/TcMar-Tc4	DF003449687	30	16	31.66
DNA/TcMar-Tigger	CraTho-5.2398	91	90	28.35
DNA/TcMar-Tigger	Mariner2_mMol	26	26	14.38
DNA/TcMar-Tigger	Mariner2_pKuh	589	577	17.58
DNA/TcMar-Tigger	Pcap_385	24231	23922	17.61
DNA/TcMar-Tigger	Pcap_432	13297	13254	9.77
DNA/TcMar-Tigger	PlaGan-6.65	50	50	33.35
DNA/TcMar-Tigger	TcMar_M.nervosa_59	340	340	34.97
DNA/TcMar-Tigger	Tigger3	82	80	30.31
DNA/TcMar-Tigger	Tigger5	331	316	26.61
DNA/TcMar-Tigger	Tigger7	91	91	35.19
DNA/TcMar-m44	Pcap_480	33855	33198	21.70
DNA/TcMar-m44	TE0200_SO2_FAM1198	94	94	25.20
DNA/TcMar-m44	TcMar_M.mercenaria_38	71	71	29.93
DNA/Zisupton	TE1797_SO2_FAM0273	485	459	16.01
DNA/Zisupton	Zisupton-2_DR	92	92	14.86
DNA/hAT-Ac	DNA-8-9_DR	32	32	29.21
DNA/hAT-Ac	DNA8-10_DR	73	72	23.91
DNA/hAT-Ac	HAT1_DR	10	8	23.41
DNA/hAT-Ac	Pcap_278	66303	64649	28.69
DNA/hAT-Ac	Pcap_279	45825	45010	24.52
DNA/hAT-Ac	Pcap_286	26922	25983	27.26
DNA/hAT-Ac	Pcap_347	10796	10731	4.81
DNA/hAT-Ac	Pcap_373	13926	13729	7.54
DNA/hAT-Ac	Pcap_384	15612	15527	21.13
DNA/hAT-Ac	Pcap_415	9971	9868	14.63
DNA/hAT-Ac	Pcap_460	19120	19012	12.51
DNA/hAT-Ac	Pcap_499	12956	12813	5.62
DNA/hAT-Ac	Sola2_T.granosa_17	176	169	44.87
DNA/hAT-Ac	TDR8B	13	13	11.69
DNA/hAT-Ac	TE0928_SO2_FAM1906	435	420	37.60
DNA/hAT-Ac	TE2685_SO2_FAM0752	255	239	35.94
DNA/hAT-Ac	hAT-14_DR	150	144	45.33
DNA/hAT-Ac	hAT-6_DR	72	67	20.58
DNA/hAT-Ac	hAT-N22_DR	48	47	9.62
DNA/hAT-Ac	hAT-N41_DR	60	60	33.59
DNA/hAT-Ac	hAT_A.marissinica_136	41	41	19.41
DNA/hAT-Blackjack	hAT_M.phylippinarum_4	65	65	28.82
DNA/hAT-Charlie	Charlie16	61	56	21.24
DNA/hAT-Charlie	hAT-N77_DR	124	122	30.77
DNA/hAT-Charlie	hAT2_mMol	59	55	16.24
DNA/hAT-Tag1	Pcap_390	12039	11916	23.63
DNA/hAT-Tag1	TE0600_SO2_FAM1584	230	230	40.07
DNA/hAT-Tag1	TE2787_SO2_FAM0860	148	146	32.54
DNA/hAT-Tag1	TE3193_SO2_FAM2422	217	217	47.27
DNA/hAT-Tag1	hAT-1_Mam	629	594	37.71
DNA/hAT-Tag1	hAT_A.marissinica_113	75	73	44.27
DNA/hAT-Tip100	MER45C	50	49	21.85
DNA/hAT-Tip100	MER45R	70	68	20.14
DNA/hAT-Tip100	TE2382_SO2_FAM0442	101	92	22.73
DNA/hAT-Tip100	hAT_A.kagoshimensis_15	124	112	37.00
DNA/hAT-Tip100	hAT_D.rostriformis_9	57	57	18.11
DNA/hAT-Tip100	hAT_P.streckersoni_20	188	186	38.33
DNA/hAT-Tip100	hAT_S.grandis_19	121	105	21.59
DNA/hAT-hATx	TE2677_SO2_FAM0742	11	10	10.76
DNA/hAT-hobo	DNA-8-16_DR	144	144	21.91
LINE	DF003447758	87	82	30.97
LINE	DF003448589	102	102	50.06
LINE/CR1	Acol_CR1_Ele17	51	51	20.82
LINE/CR1	Acol_CR1_Ele19	200	200	23.29
LINE/CR1	Acol_CR1_Ele5	75	73	28.41
LINE/CR1	Acol_CR1_Ele9	149	148	16.35
LINE/CR1	CR1-3_Croc	60	54	24.02
LINE/CR1	DF003447512	85	80	29.08
LINE/CR1	DF003447691	56	55	20.94
LINE/CR1	DF003447955	85	84	25.22
LINE/CR1	DF003448147	52	52	10.35
LINE/CR1	DF003448331	52	52	23.09
LINE/CR1	DF003448487	66	66	16.40
LINE/CR1	DF003448610	98	97	44.30
LINE/CR1	DF003448612	49	49	27.35
LINE/CR1	DF003448682	88	88	31.69
LINE/CR1	DF003448801	58	56	23.52
LINE/CR1	DF003449106	95	89	32.99
LINE/CR1	DF003449381	35	35	16.33
LINE/CR1	DF003449486	73	72	35.92
LINE/CR1	DF003449681	35	34	3.01
LINE/CR1	DF003449707	61	61	25.85
LINE/CR1	DF003449769	56	51	15.71
LINE/CR1	DF003449854	177	177	25.20
LINE/CR1	DF003450082	58	55	21.19
LINE/CR1	DF003450168	76	76	21.32
LINE/CR1	LINE_A.kagoshimensis_66_cons	344	328	30.87
LINE/CR1	LINE_A.marissinica_41_cons	75	75	42.07
LINE/CR1	LINE_B.platifrons_95_cons	81	77	23.38
LINE/CR1	LINE_M.edulis_73_cons	54	51	20.87
LINE/CR1	LINE_M.mercenaria_12_cons	72	72	19.66
LINE/CR1	Pcap_475	73394	71611	28.84
LINE/CR1-Zenon	LINE_A.marissinica_196_cons	42	42	22.37
LINE/CR1-Zenon	LINE_B.platifrons_97_cons	87	85	37.41
LINE/CR1-Zenon	LINE_C.sinensis_63_cons	88	77	16.37
LINE/CR1-Zenon	LINE_C.sinensis_64_cons	89	89	33.24
LINE/CR1-Zenon	LINE_D.rostriformis_35_cons	55	54	25.06
LINE/CR1-Zenon	LINE_P.maximus_68_cons	86	81	31.95
LINE/CR1-Zenon	LINE_P.maximus_8_cons	77	74	18.61
LINE/CR1-Zenon	LINE_S.grandis_102_cons	89	89	27.49
LINE/CR1-Zenon	LINE_S.grandis_35_cons	90	86	32.74
LINE/I	LINE_M.nervosa_63_cons	62	62	34.66
LINE/I	TE1025_SO2_FAM0200	49	49	27.80
LINE/I-Jockey	DOC2_DM	62	61	25.66
LINE/I-Jockey	TART_B1	72	70	32.57
LINE/I-Jockey	TE3269_SO2_FAM497	52	52	20.35
LINE/L1	Acol_L1_Ele2	267	267	31.63
LINE/L1	Acol_L1_Ele6	100	100	23.70
LINE/L1	CavApe-3.2	50	49	21.54
LINE/L1	CerCot-5.1924	886	689	37.44
LINE/L1	CerSim-5.16	79	77	32.63
LINE/L1	CheMed-1.196	66	64	20.22
LINE/L1	ChiLan-1.57	36	36	12.03
LINE/L1	ChrAsi-5.56	118	118	27.10
LINE/L1	CriGam-2.17	67	64	23.69
LINE/L1	CunPac-4.8	105	95	23.71
LINE/L1	EchTel-1.140	53	53	19.50
LINE/L1	HysCri-5.703	8	8	42.27
LINE/L1	L1-10_DR	117	98	47.70
LINE/L1	L1-110_DR	83	79	28.76
LINE/L1	L1-112_DR	210	207	30.80
LINE/L1	L1-11_DR	7452	6998	45.20
LINE/L1	L1-1_Testu	52	52	43.06
LINE/L1	L1-52_DR	85	81	25.02
LINE/L1	L1-53_DR	46	46	23.65
LINE/L1	L1-63_DR	89	86	41.62
LINE/L1	L1-68_DR	68	66	38.18
LINE/L1	L1-78_DR	240	234	29.92
LINE/L1	L1-86_DR	159	159	26.95
LINE/L1	L1-8_AstCal	676	661	36.43
LINE/L1	L1-97_DR	51	51	28.30
LINE/L1	L1-9_AstCal	57	57	18.34
LINE/L1	LINE1-4_pDis	68	59	18.86
LINE/L1	LemCat-5.3086	102	100	31.02
LINE/L1	ManLeu-1.35	39	39	18.05
LINE/L1	ManPen-1.196	21	20	37.86
LINE/L1	MerUng-1.47	52	52	23.40
LINE/L1	MusPut-1.44	135	133	48.71
LINE/L1	NanGal-6.3218	43	43	21.51
LINE/L1	NomLeu-2.42	176	170	23.30
LINE/L1	OnyTor-1.66	53	53	19.90
LINE/L1	OtoGar-5.956	35	35	16.82
LINE/L1	Pcap_166	25548	25113	21.29
LINE/L1	Pcap_298	39837	39445	13.57
LINE/L1	Pcap_324	21209	20894	19.68
LINE/L1	Pcap_340	20928	20760	12.61
LINE/L1	Pcap_346	18813	18355	30.20
LINE/L1	Pcap_380	15272	15125	16.52
LINE/L1	Pcap_465	13399	13265	15.01
LINE/L1	Pcap_477	51515	50910	23.62
LINE/L1	Pcap_494	14565	14166	25.76
LINE/L1	PerLon-6.618	52	50	21.03
LINE/L1	PetTyp-6.1029	194	183	48.28
LINE/L1	Pman_L1_6.15341	61	61	36.45
LINE/L1	Pman_L1_6.2192	53	51	13.03
LINE/L1	ProCap-6.74	51	46	38.28
LINE/L1	RanTar-3.64	63	57	18.53
LINE/L1	RhiPru-1.298	46	44	12.89
LINE/L1	SpeDau-1.409	178	178	26.62
LINE/L1	TadBra-1.32	64	60	23.30
LINE/L1	TamTet-4.86	161	150	37.67
LINE/L1	TapTer-4.307	43	43	21.51
LINE/L1	X9_LINE	107	103	32.98
LINE/L1-Tx1	KenoDr1	228	218	33.06
LINE/L1-Tx1	L1-3_DR	141	100	46.90
LINE/L1-Tx1	LINE_A.kagoshimensis_27_cons	74	74	29.40
LINE/L1-Tx1	LINE_A.marissinica_26_cons	16	15	26.49
LINE/L1-Tx1	LINE_A.marissinica_83_cons	706	665	39.89
LINE/L1-Tx1	LINE_A.purpuratus_8_cons	58	56	26.80
LINE/L1-Tx1	LINE_C.gigas_11_cons	67	64	21.61
LINE/L1-Tx1	LINE_M.edulis_117_cons	100	99	41.22
LINE/L1-Tx1	LINE_M.edulis_20_cons	255	255	38.93
LINE/L1-Tx1	LINE_M.mercenaria_47_cons	67	67	41.74
LINE/L1-Tx1	LINE_M.yessoensis_57_cons	1347	1291	38.30
LINE/L1-Tx1	LINE_P.maximus_108_cons	192	176	48.83
LINE/L1-Tx1	LINE_P.maximus_52_cons	671	648	36.60
LINE/L1-Tx1	LINE_P.maximus_56_cons	73	71	28.14
LINE/L1-Tx1	LINE_P.maximus_6_cons	42	14	35.36
LINE/L1-Tx1	LINE_P.maximus_88_cons	3304	3155	23.47
LINE/L1-Tx1	LINE_S.constricta_51_cons	658	610	39.57
LINE/L1-Tx1	LINE_S.grandis_73_cons	61	61	23.77
LINE/L1-Tx1	LINE_S.grandis_85_cons	147	145	39.60
LINE/L1-Tx1	LINE_T.granosa_10_cons	195	192	29.27
LINE/L1-Tx1	Tx1-34_DR	93	90	34.63
LINE/L1-Tx1	Tx1-39_DR	54	54	27.43
LINE/L2	L2-15_Hmel_B3	50	46	9.26
LINE/L2	L2-17_DRe	40	40	24.17
LINE/L2	L2-23_AstCal	115	104	29.97
LINE/L2	L2-7_AstCal	62	61	27.47
LINE/L2	LINE_C.farreri_0_cons	42	42	18.86
LINE/L2	LINE_M.mercenaria_3_cons	67	65	23.27
LINE/L2	LINE_P.fucata_1_cons	51	51	25.46
LINE/L2	TE1959_SO2_FAM0288	77	77	24.69
LINE/L2	TE2376_SO2_FAM0437	131	123	38.76
LINE/L2	TE2812_SO2_FAM0884	50	50	15.87
LINE/L2	TE3192_SO2_FAM240	64	64	29.40
LINE/Proto2	LINE_M.edulis_101_cons	60	60	29.03
LINE/Proto2	LINE_M.edulis_260_cons	48	48	21.85
LINE/Proto2	LINE_S.constricta_27_cons	31	31	3.57
LINE/Proto2	LINE_S.grandis_12_cons	45	44	18.05
LINE/Proto2	LINE_S.grandis_18_cons	89	89	28.59
LINE/R1	Acol_R1_Ele1	324	302	24.09
LINE/R1	Acol_R1_Ele11	162	156	34.11
LINE/R1	Acol_R1_Ele15	77	75	20.83
LINE/R1	Acol_R1_Ele16	4071	3788	33.25
LINE/R1	Acol_R1_Ele17	458	430	25.25
LINE/R1	Acol_R1_Ele2	97	88	27.79
LINE/R1	Acol_R1_Ele6	15	15	40.21
LINE/R1	Acol_R1_Ele8	32	32	6.88
LINE/R1	Halyomorpha_halys-1_family-394	78	68	28.17
LINE/R1	TE1278_SO2_FAM2243	64	64	26.49
LINE/R1-LOA	TE0220_SO2_FAM1219	59	59	21.73
LINE/R2	R2Dr	71	71	28.33
LINE/R2-NeSL	Pcap_257	51519	50731	15.71
LINE/RTE	RTE-13_Hmel_B	38	38	14.80
LINE/RTE	RTE-20_Hmel_A	105	101	29.31
LINE/RTE	RTE-6_Hmel_H2	27	22	38.62
LINE/RTE-BovB	DF003449069	48	48	24.43
LINE/RTE-BovB	DF003449592	66	65	22.30
