seq_id,aln_start,aln_end,env_start,env_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,score,evalue,significance,clan
g84.t1,1379,1435,1375,1438,PF01363.27,FYVE,Domain,7,64,67,51.6,9.8e-14,1,CL0229
g86.t1,18,180,17,181,PF00160.26,Pro_isomerase,Domain,2,158,159,153.2,8.4e-45,1,CL0475
g87.t1,26,89,25,90,PF00191.25,Annexin,Domain,2,65,66,63.5,1.9e-17,1,No_Clan
g87.t1,106,156,98,157,PF00191.25,Annexin,Domain,15,65,66,34.0,3.1e-08,1,No_Clan
g87.t1,182,240,178,243,PF00191.25,Annexin,Domain,5,63,66,38.3,1.3e-09,1,No_Clan
g87.t1,255,316,254,317,PF00191.25,Annexin,Domain,3,65,66,43.0,4.7e-11,1,No_Clan
g91.t1,5,548,4,548,PF05600.17,CDK5RAP3,Family,2,502,502,465.4,3.2e-139,1,No_Clan
g92.t1,28,89,26,91,PF00191.25,Annexin,Domain,3,64,66,42.3,7.8e-11,1,No_Clan
g92.t1,100,160,98,163,PF00191.25,Annexin,Domain,3,63,66,45.7,6.8e-12,1,No_Clan
g92.t1,184,241,183,247,PF00191.25,Annexin,Domain,2,58,66,51.2,1.3e-13,1,No_Clan
g92.t1,261,323,259,323,PF00191.25,Annexin,Domain,3,66,66,29.9,5.7e-07,1,No_Clan
g93.t1,28,91,25,91,PF00191.25,Annexin,Domain,3,66,66,42.0,9.9e-11,1,No_Clan
g93.t1,102,161,98,163,PF00191.25,Annexin,Domain,5,64,66,34.5,2.1e-08,1,No_Clan
g93.t1,184,247,183,248,PF00191.25,Annexin,Domain,2,64,66,50.4,2.3e-13,1,No_Clan
g94.t1,241,478,224,478,PF00069.31,Pkinase,Domain,24,263,263,210.5,3.6e-62,1,CL0016
g96.t1,618,768,618,773,PF00078.32,RVT_1,Domain,1,192,205,102.8,2.5e-29,1,CL0027
g98.t1,30,128,26,131,PF00153.32,Mito_carr,Repeat,7,93,96,41.1,1.5e-10,1,No_Clan
g98.t1,129,217,127,219,PF00153.32,Mito_carr,Repeat,3,94,96,60.9,9.9e-17,1,No_Clan
g98.t1,227,316,223,318,PF00153.32,Mito_carr,Repeat,7,88,96,71.6,4.5e-20,1,No_Clan
g99.t1,283,373,283,373,PF13155.12,Toprim_2,Family,1,88,88,38.7,1.2e-09,1,CL0413
g99.t1,419,591,406,591,PF13481.12,AAA_25,Domain,17,195,195,83.1,2.6e-23,1,CL0023
g100.t1,217,375,217,387,PF00270.35,DEAD,Domain,1,146,167,124.4,4.7e-36,1,CL0023
g100.t1,575,676,569,677,PF00271.37,Helicase_C,Domain,7,109,110,84.7,6.6e-24,1,CL0023
g102.t1,48,135,41,136,PF15916.11,DUF4743,Family,29,117,118,51.8,1e-13,1,CL0261
g102.t1,151,273,140,276,PF00293.34,NUDIX,Domain,16,131,134,28.9,1.2e-06,1,CL0261
g103.t1,20,89,20,90,PF00076.28,RRM_1,Domain,1,69,70,43.1,3.7e-11,1,CL0221
g103.t1,290,359,290,359,PF00076.28,RRM_1,Domain,1,70,70,69.2,2.6e-19,1,CL0221
g103.t1,486,545,486,550,PF00076.28,RRM_1,Domain,1,65,70,40.1,3.3e-10,1,CL0221
g103.t1,604,676,604,677,PF00076.28,RRM_1,Domain,1,69,70,48.0,1.1e-12,1,CL0221
g103.t1,705,773,705,774,PF00076.28,RRM_1,Domain,1,69,70,56.6,2.4e-15,1,CL0221
g104.t1,26,267,25,268,PF00696.33,AA_kinase,Family,2,233,234,129.1,2.7e-37,1,No_Clan
g104.t1,298,564,293,588,PF00171.27,Aldedh,Family,27,279,461,31.8,6.9e-08,1,CL0099
g123.t1,1158,1190,1158,1190,PF18264.7,preSET_CXC,Domain,1,32,32,34.2,3.4e-08,1,CL0809
g123.t1,1235,1340,1235,1340,PF00856.33,SET,Family,1,105,105,71.0,1.3e-19,1,CL0489
g124.t1,362,585,356,591,PF09787.14,Golgin_A5,Coiled-coil,86,297,305,67.2,2.3e-18,1,No_Clan
g126.t1,118,289,117,290,PF02759.24,RUN,Family,2,130,131,64.1,1.7e-17,1,No_Clan
g126.t1,427,576,427,578,PF00620.32,RhoGAP,Domain,1,146,148,55.9,5.5e-15,1,CL0409
g126.t1,681,895,679,895,PF04727.18,ELMO_CED12,Family,3,176,176,122.2,3.2e-35,1,No_Clan
g130.t1,87,535,86,540,PF07690.21,MFS_1,Family,2,343,347,96.7,1.6e-27,1,CL0015
g131.t1,4,234,2,248,PF04113.19,Gpi16,Family,3,235,571,146.7,1e-42,1,No_Clan
g131.t1,307,516,236,529,PF04113.19,Gpi16,Family,354,550,571,221.1,3.1e-65,1,No_Clan
g132.t1,282,324,282,325,PF06203.19,CCT,Motif,1,43,44,59.1,4e-16,1,CL0281
g134.t1,230,292,228,292,PF00035.32,dsrm,Domain,3,66,66,31.3,3.1e-07,1,CL0196
g136.t1,114,168,114,169,PF16450.11,Prot_ATP_ID_OB_C,Domain,1,55,56,45.6,6e-12,1,CL0021
g136.t1,227,360,227,360,PF00004.35,AAA,Domain,1,131,131,142.6,1.2e-41,1,CL0023
g136.t1,382,425,382,426,PF17862.7,AAA_lid_3,Domain,1,44,45,44.4,1.2e-11,1,CL0671
g137.t1,81,370,81,370,PF00069.31,Pkinase,Domain,1,263,263,230.7,2.5e-68,1,CL0016
g138.t1,116,415,116,416,PF01866.22,Diphthamide_syn,Family,1,301,302,375.3,3e-112,1,No_Clan
g140.t1,11,40,10,41,PF00641.23,Zn_ribbon_RanBP,Domain,2,29,30,29.4,4.5e-07,1,CL0167
g140.t1,66,93,65,93,PF00641.23,Zn_ribbon_RanBP,Domain,3,30,30,25.7,6.6e-06,1,CL0167
g140.t2,11,40,10,41,PF00641.23,Zn_ribbon_RanBP,Domain,2,29,30,29.0,6e-07,1,CL0167
g140.t2,66,93,65,93,PF00641.23,Zn_ribbon_RanBP,Domain,3,30,30,25.3,8.8e-06,1,CL0167
g142.t1,68,257,67,257,PF00687.26,Ribosomal_L1,Domain,2,198,198,222.0,6.6e-66,1,No_Clan
g143.t1,61,189,60,189,PF03099.24,BPL_LplA_LipB,Domain,2,133,133,88.2,5.3e-25,1,CL0040
g144.t1,14,73,12,75,PF21126.3,KATNA1_MIT,Domain,3,62,64,29.9,4.3e-07,1,CL0745
g144.t1,312,447,312,447,PF00004.35,AAA,Domain,1,131,131,130.0,9.7e-38,1,CL0023
g144.t1,469,503,469,511,PF17862.7,AAA_lid_3,Domain,1,35,45,36.8,2.7e-09,1,CL0671
g147.t1,7,53,7,54,PF15801.11,zf-C6H2,Domain,1,46,47,62.6,3.7e-17,1,CL0175
g147.t1,130,357,129,357,PF00557.29,Peptidase_M24,Domain,2,208,208,160.7,5.1e-47,1,No_Clan
g148.t1,51,167,49,167,PF14935.11,TMEM138,Family,4,118,119,87.0,1.8e-24,1,No_Clan
g149.t1,1,98,1,99,PF00752.23,XPG_N,Family,1,100,101,91.4,5.5e-26,1,CL0280
g149.t1,141,226,141,226,PF00867.23,XPG_I,Family,1,89,89,83.7,1.2e-23,1,CL0464
g150.t1,425,468,425,468,PF13639.12,zf-RING_2,Domain,1,44,44,52.5,5.7e-14,1,CL0229
g150.t2,427,451,426,452,PF17123.11,zf-RING_11,Domain,2,26,29,29.0,8.4e-07,1,CL0229
g152.t1,69,243,69,247,PF07859.19,Abhydrolase_3,Domain,1,172,210,101.7,6e-29,1,CL0028
g152.t2,18,192,18,196,PF07859.19,Abhydrolase_3,Domain,1,172,210,102.3,3.9e-29,1,CL0028
g153.t1,422,485,397,487,PF05699.19,Dimer_Tnp_hAT,Domain,21,82,84,27.7,2.2e-06,1,No_Clan
g154.t1,22,330,20,331,PF02535.28,Zip,Family,3,322,323,164.7,3.9e-48,1,CL0184
g161.t1,22,320,20,321,PF02535.28,Zip,Family,3,322,323,157.3,7.2e-46,1,CL0184
g162.t1,6,52,6,53,PF15801.11,zf-C6H2,Domain,1,46,47,61.4,8.6e-17,1,CL0175
g162.t1,126,353,125,353,PF00557.29,Peptidase_M24,Domain,2,208,208,166.2,1.1e-48,1,No_Clan
g163.t1,100,202,92,206,PF00520.37,Ion_trans,Family,11,112,241,39.5,4.7e-10,1,CL0030
g163.t1,280,395,279,403,PF22614.2,Slo-like_RCK,Domain,2,115,119,63.1,2.3e-17,1,CL0063
g163.t1,429,512,425,513,PF03493.23,BK_channel_a,Family,9,89,90,55.1,9.5e-15,1,CL0582
g164.t1,340,364,340,364,PF13913.12,zf-C2HC_2,Domain,1,25,25,31.2,1.6e-07,1,CL0361
g165.t1,161,238,161,238,PF02201.23,SWIB,Domain,1,74,74,54.9,7.1e-15,1,No_Clan
g166.t1,21,289,20,293,PF00335.26,Tetraspanin,Family,2,222,225,47.5,2.3e-12,1,CL0347
g167.t1,219,328,218,328,PF07540.16,NOC3p,Family,2,92,92,77.1,1.4e-21,1,No_Clan
g167.t1,587,726,568,726,PF03914.23,CBF,Repeat,18,165,165,80.0,2.4e-22,1,CL0020
g168.t1,781,847,781,865,PF11865.14,mTOR_dom,Repeat,1,66,160,50.9,2.2e-13,1,CL0020
g168.t1,950,1041,918,1042,PF11865.14,mTOR_dom,Repeat,68,159,160,74.3,1.3e-20,1,CL0020
g168.t1,1557,1954,1549,1954,PF02259.29,FAT,Repeat,10,343,343,189.7,1.1e-55,1,CL0020
g168.t1,1967,2050,1964,2059,PF23593.1,HEAT_ATR,Repeat,4,87,99,31.8,1.3e-07,1,CL0020
g168.t1,2061,2163,2061,2163,PF08771.16,FRB_dom,Domain,1,99,99,109.7,8.7e-32,1,No_Clan
g168.t1,2232,2480,2231,2481,PF00454.33,PI3_PI4_kinase,Family,2,240,241,269.2,5.3e-80,1,CL0016
g168.t1,2639,2669,2638,2669,PF02260.25,FATC,Family,2,32,32,57.2,1.3e-15,1,No_Clan
g169.t1,22,209,21,214,PF03942.20,DTW,Domain,2,190,195,66.4,3.7e-18,1,CL0098
g170.t1,58,155,57,155,PF00970.30,FAD_binding_6,Domain,2,99,99,93.9,7.9e-27,1,CL0105
g170.t1,165,270,165,272,PF00175.26,NAD_binding_1,Domain,1,107,109,101.2,6.2e-29,1,CL0091
g171.t1,737,865,737,867,PF02732.21,ERCC4,Domain,1,138,140,91.2,6.9e-26,1,CL0236
g172.t1,143,293,142,297,PF01569.27,PAP2,Family,2,125,130,88.9,3e-25,1,CL0525
g173.t1,135,283,131,287,PF01569.27,PAP2,Family,5,126,130,87.7,7e-25,1,CL0525
g174.t1,66,214,65,220,PF01569.27,PAP2,Family,2,123,130,88.6,3.6e-25,1,CL0525
g175.t1,439,564,438,564,PF21056.3,ZSWIM1-3_RNaseH-like,Domain,2,128,128,118.2,2.8e-34,1,CL0219
g178.t1,152,302,151,306,PF01569.27,PAP2,Family,2,125,130,84.3,7.9e-24,1,CL0525
g179.t1,169,319,168,323,PF01569.27,PAP2,Family,2,125,130,90.5,9.6e-26,1,CL0525
g180.t1,64,83,63,84,PF18044.7,zf-CCCH_4,Domain,2,21,22,35.9,5.6e-09,1,CL0537
g180.t1,172,222,171,222,PF13639.12,zf-RING_2,Domain,2,44,44,29.1,1.1e-06,1,CL0229
g181.t1,197,254,196,254,PF13855.12,LRR_8,Repeat,2,61,61,33.3,3.8e-08,1,CL0022
g182.t1,147,297,146,301,PF01569.27,PAP2,Family,2,125,130,83.6,1.3e-23,1,CL0525
g183.t1,167,316,166,321,PF01569.27,PAP2,Family,2,124,130,77.6,9e-22,1,CL0525
g184.t1,54,111,53,111,PF13855.12,LRR_8,Repeat,2,61,61,27.4,2.7e-06,1,CL0022
g186.t1,47,149,45,150,PF09346.15,SMI1_KNR4,Domain,5,124,125,47.0,4.7e-12,1,CL0526
g187.t1,46,188,31,188,PF24681.1,Kelch_KLHDC2_KLHL20_DRC7,Repeat,84,221,221,88.0,6.9e-25,1,CL0186
g187.t1,258,352,248,358,PF24681.1,Kelch_KLHDC2_KLHL20_DRC7,Repeat,37,132,221,63.7,1.9e-17,1,CL0186
g187.t2,25,120,5,127,PF24681.1,Kelch_KLHDC2_KLHL20_DRC7,Repeat,36,132,221,67.7,1.1e-18,1,CL0186
g189.t1,3,79,1,83,PF01569.27,PAP2,Family,65,125,130,35.5,9.3e-09,1,CL0525
g190.t1,167,316,166,321,PF01569.27,PAP2,Family,2,124,130,77.6,9e-22,1,CL0525
g192.t1,47,149,45,150,PF09346.15,SMI1_KNR4,Domain,5,124,125,47.0,4.7e-12,1,CL0526
g193.t1,86,125,85,125,PF13639.12,zf-RING_2,Domain,2,44,44,29.0,1.3e-06,1,CL0229
g193.t1,394,586,394,586,PF24681.1,Kelch_KLHDC2_KLHL20_DRC7,Repeat,37,221,221,128.5,2.8e-37,1,CL0186
g194.t1,33,210,29,227,PF16178.10,Anoct_dimer,Domain,10,204,221,52.2,9.4e-14,1,No_Clan
g194.t1,230,666,230,667,PF04547.17,Anoctamin,Family,1,459,460,386.5,2.2e-115,1,CL0416
g197.t1,1,404,1,406,PF05577.18,Peptidase_S28,Domain,31,432,434,231.2,2.7e-68,1,CL0028
g198.t1,85,515,85,517,PF05577.18,Peptidase_S28,Domain,1,432,434,269.8,5.1e-80,1,CL0028
g199.t1,336,373,335,373,PF04810.20,zf-Sec23_Sec24,Domain,2,39,39,61.2,9.1e-17,1,CL0167
g199.t1,410,644,410,646,PF04811.21,Sec23_trunk,Domain,1,239,241,269.8,2.7e-80,1,CL0128
g199.t1,651,735,651,735,PF08033.17,Sec23_BS,Domain,1,86,86,86.1,2.4e-24,1,No_Clan
g199.t1,746,849,746,851,PF04815.20,Sec23_helical,Domain,1,101,103,87.6,5.3e-25,1,No_Clan
g199.t1,889,950,888,959,PF00626.27,Gelsolin,Domain,2,61,76,39.4,5.2e-10,1,CL0092
g201.t1,10,341,10,341,PF00225.29,Kinesin,Domain,1,327,327,352.5,2.5e-105,1,CL0023
g201.t1,412,489,388,490,PF16183.10,Kinesin_assoc,Family,90,170,171,43.7,4.2e-11,1,No_Clan
g201.t1,847,891,843,892,PF12423.13,KIF1B,Family,5,45,46,28.3,2e-06,1,No_Clan
g202.t1,87,336,86,340,PF01040.23,UbiA,Family,1,246,250,183.8,4.3e-54,1,CL0613
g203.t1,111,179,111,201,PF02906.19,Fe_hyd_lg_C,Domain,1,69,245,36.0,7.2e-09,1,No_Clan
g203.t1,213,441,188,441,PF02906.19,Fe_hyd_lg_C,Domain,68,245,245,176.5,9e-52,1,No_Clan
g203.t1,464,504,456,505,PF02256.22,Fe_hyd_SSU,Domain,16,55,56,38.4,1.2e-09,1,No_Clan
g208.t1,30,124,29,124,PF12796.13,Ank_2,Repeat,2,90,90,63.7,2.3e-17,1,CL0465
g208.t1,212,282,208,284,PF13424.12,TPR_12,Repeat,5,75,77,33.9,3.4e-08,1,CL0020
g209.t1,49,104,49,104,PF03367.19,Zn_ribbon_ZPR1,Domain,1,56,56,91.5,2.1e-26,1,CL0167
g209.t1,117,241,117,241,PF22794.1,jr-ZPR1,Domain,1,125,125,142.2,1e-41,1,No_Clan
g209.t1,277,332,277,332,PF03367.19,Zn_ribbon_ZPR1,Domain,1,56,56,82.2,1.7e-23,1,CL0167
g209.t1,350,472,348,472,PF22794.1,jr-ZPR1,Domain,3,125,125,103.7,8e-30,1,No_Clan
g210.t1,250,298,249,301,PF12836.13,HHH_3,Domain,8,60,65,30.9,2.9e-07,1,CL0198
g211.t1,444,511,444,512,PF17849.7,OB_Dis3,Domain,1,76,77,61.9,5.8e-17,1,CL0021
g211.t1,568,950,568,952,PF00773.24,RNB,Domain,1,324,326,294.6,1.3e-87,1,No_Clan
g212.t1,86,339,83,339,PF00069.31,Pkinase,Domain,4,263,263,257.8,1.4e-76,1,CL0016
g212.t1,386,447,384,448,PF13499.12,EF-hand_7,Domain,3,66,67,51.5,1.3e-13,1,CL0220
g212.t1,456,513,456,514,PF13499.12,EF-hand_7,Domain,1,66,67,44.3,2.2e-11,1,CL0220
g213.t1,38,249,38,252,PF07059.17,EDR2_C,Domain,1,208,213,218.4,1.3e-64,1,No_Clan
g213.t1,463,755,461,794,PF04910.20,Tcf25,Repeat,3,276,337,235.8,8.8e-70,1,CL0020
g213.t2,8,100,3,143,PF04910.20,Tcf25,Repeat,189,276,337,47.5,1.7e-12,1,CL0020
g214.t1,40,253,40,253,PF07059.17,EDR2_C,Domain,1,213,213,210.6,3e-62,1,No_Clan
g215.t1,111,406,82,408,PF03062.24,MBOAT,Family,31,335,337,85.6,5e-24,1,CL0517
g216.t1,10,135,10,148,PF00300.27,His_Phos_1,Domain,1,109,194,40.5,3e-10,1,CL0071
g218.t1,41,158,41,158,PF10396.14,TrmE_N,Family,1,117,117,129.3,9.9e-38,1,CL0289
g218.t1,161,494,161,494,PF12631.12,MnmE_helical,Family,1,211,211,153.7,9.3e-45,1,No_Clan
g218.t1,258,370,258,370,PF01926.29,MMR_HSR1,Family,1,113,113,75.4,4.8e-21,1,CL0023
g221.t1,182,257,175,261,PF11835.14,RRM_8,Domain,10,85,89,55.7,5.8e-15,1,CL0221
g221.t1,376,476,366,489,PF13893.12,RRM_5,Domain,12,114,125,71.2,7.7e-20,1,CL0221
g221.t1,520,586,498,592,PF13893.12,RRM_5,Domain,39,105,125,27.0,3.9e-06,1,CL0221
g221.t2,182,257,175,261,PF11835.14,RRM_8,Domain,10,85,89,55.7,5.8e-15,1,CL0221
g221.t2,376,476,366,489,PF13893.12,RRM_5,Domain,12,114,125,71.2,7.7e-20,1,CL0221
g221.t2,520,586,498,592,PF13893.12,RRM_5,Domain,39,105,125,27.0,3.9e-06,1,CL0221
g222.t1,5,176,5,177,PF00025.27,Arf,Domain,1,173,174,269.2,1.4e-80,1,CL0023
g227.t1,127,222,126,222,PF03732.23,Retrotrans_gag,Family,2,97,97,48.4,1.1e-12,1,CL0523
g227.t1,357,448,339,455,PF08284.16,RVP_2,Domain,30,116,136,30.1,4.5e-07,1,CL0129
g247.t1,5,176,5,177,PF00025.27,Arf,Domain,1,173,174,269.2,1.4e-80,1,CL0023
g248.t1,8,108,8,108,PF01990.22,ATP-synt_F,Family,1,91,91,100.2,8.2e-29,1,No_Clan
g250.t1,19,199,18,199,PF23240.1,HAT_PRP39_N,Repeat,2,168,168,163.2,7.4e-48,1,CL0020
g250.t1,252,391,251,391,PF23241.1,HAT_PRP39_C,Repeat,2,139,139,158.2,1.6e-46,1,CL0020
g252.t1,59,156,51,157,PF04900.18,Fcf1,Family,6,98,99,61.2,1.2e-16,1,CL0280
g253.t1,104,181,99,182,PF00027.35,cNMP_binding,Domain,6,88,89,60.5,1.5e-16,1,CL0029
g253.t1,218,301,217,303,PF00027.35,cNMP_binding,Domain,2,86,89,65.5,4.2e-18,1,CL0029
g253.t1,341,433,340,434,PF00027.35,cNMP_binding,Domain,2,86,89,62.6,3.5e-17,1,CL0029
g253.t1,465,725,464,725,PF00069.31,Pkinase,Domain,2,263,263,230.9,2.1e-68,1,CL0016
g255.t1,21,120,17,125,PF00168.36,C2,Domain,8,99,104,57.6,1.6e-15,1,CL0154
g255.t1,157,253,154,260,PF00168.36,C2,Domain,9,96,104,56.0,4.9e-15,1,CL0154
g255.t1,321,533,321,537,PF07002.22,Copine,Family,1,214,218,233.7,2.1e-69,1,CL0128
g257.t1,4,73,2,74,PF11095.14,Gemin7,Family,7,74,76,36.4,4.8e-09,1,CL0010
g258.t1,298,446,297,447,PF09949.15,APP1_cat,Domain,2,153,154,35.7,9.7e-09,1,CL0137
g258.t2,282,430,281,431,PF09949.15,APP1_cat,Domain,2,153,154,35.8,9.2e-09,1,CL0137
g259.t1,105,424,86,424,PF03372.29,Exo_endo_phos,Domain,9,225,225,65.6,7e-18,1,CL0530
g260.t1,32,126,32,126,PF00338.27,Ribosomal_S10,Domain,1,98,98,103.1,9.6e-30,1,No_Clan
g261.t1,104,167,104,190,PF01808.24,AICARFT_IMPCHas,Family,1,62,311,32.1,1e-07,1,CL0109
g261.t1,171,272,170,272,PF02844.21,GARS_N,Domain,2,100,100,116.5,9.6e-34,1,CL0063
g261.t1,273,464,273,464,PF01071.24,GARS_A,Domain,1,194,194,269.4,2.4e-80,1,CL0179
g261.t1,499,589,499,590,PF02843.22,GARS_C,Domain,1,91,92,108.3,2.4e-31,1,CL0105
g261.t1,600,781,599,781,PF00551.24,Formyl_trans_N,Domain,2,181,181,153.2,8.1e-45,1,No_Clan
g261.t1,848,957,839,957,PF00586.29,AIRS,Domain,10,112,112,85.5,4.2e-24,1,CL0804
g261.t1,969,1130,968,1137,PF02769.27,AIRS_C,Domain,2,148,156,114.4,6.8e-33,1,No_Clan
g262.t1,21,127,21,128,PF09799.14,Transmemb_17,Family,1,106,107,56.2,5.5e-15,1,No_Clan
