,chr,start,end,zoospore,germinating cyst,mycelia_48h,mycelia_96,Early infection,Late infection,compartment
g55,HiC_scaffold_1,124071,125749,14.85194253,3.616434891,9.324849008,4.047333745,7.254840065,3.025381674,A
g56,HiC_scaffold_1,125846,129479,5.576002603,4.178828577,3.284607201,8.016591882,5.277805202,4.873985498,A
g57,HiC_scaffold_1,129801,134698,4.013181759,1.689751268,2.875562966,7.558823372,7.746330528,8.934037302,A
g58,HiC_scaffold_1,134739,137213,49.85088811,19.73500984,15.70788808,29.75963315,26.38643607,33.4441847,A
g59,HiC_scaffold_1,140279,142756,6.808095938,0.119138296,0.378447578,3.657861367,2.487084319,7.645561463,A
g60,HiC_scaffold_1,142764,143852,8.006198939,9.588543448,17.12396275,19.80440016,17.12549213,16.0930171,A
g61,HiC_scaffold_1,144079,144784,30.03240329,2.633155953,26.30644919,9.292783844,31.06704339,13.99833817,A
g62,HiC_scaffold_1,145532,146309,13.90884619,0.153036407,0.730109284,13.77132704,21.20115887,29.10361747,A
g63,HiC_scaffold_1,146611,147541,1.914489603,0.086722572,0.304997265,3.243256354,1.746811852,1.427516618,A
g66,HiC_scaffold_1,152483,153503,15.9264859,23.03122676,12.27860636,12.20581961,10.16337313,4.75734543,A
g67,HiC_scaffold_1,153619,154648,0.703408255,18.01143535,35.94956265,17.35188392,17.68970946,1.85567134,A
g68,HiC_scaffold_1,155112,156777,1.360680794,8.219828364,6.533691738,5.179290801,6.402106173,3.251764689,A
g69,HiC_scaffold_1,158300,159410,19.76284215,16.20922096,2.184000441,18.83150551,53.41738043,32.65739425,A
g70,HiC_scaffold_1,159743,162476,33.92015358,36.11665216,55.19168629,19.04871143,34.61180724,26.06756252,A
g71,HiC_scaffold_1,162620,164339,5.146696177,31.95675021,40.19494026,82.96651788,59.47907778,87.92199617,A
g72,HiC_scaffold_1,164463,165143,6.232016498,19.3481512,9.067403328,26.18959316,14.56032802,21.64756924,A
g73,HiC_scaffold_1,165233,166403,85.65234137,1.748959226,2.552753769,8.547549273,5.687716345,8.256620186,A
g74,HiC_scaffold_1,166665,168361,9.676694286,13.40152198,16.77186334,99.24443832,79.17737997,56.97776056,A
g75,HiC_scaffold_1,168796,170506,2.111504684,2.819883569,9.266434913,19.33592768,14.89333946,14.73910024,A
g76,HiC_scaffold_1,170714,173775,0.572160141,2.216981713,59.25506246,17.26921992,18.0253935,17.13791718,A
g77,HiC_scaffold_1,173812,176160,3.945008608,11.38422422,151.6987753,167.4985073,134.9900498,224.2815453,A
g78,HiC_scaffold_1,176489,177488,14.2330531,16.93592549,23.18110627,20.38973265,17.09649935,24.07147915,A
g79,HiC_scaffold_1,177810,179109,0.204367764,0,0.082424761,1.201765696,0.561787872,1.021054988,A
g81,HiC_scaffold_1,183341,184264,14.28278637,23.59257025,15.32730509,19.58489397,18.7167894,22.13414516,A
g82,HiC_scaffold_1,184459,186004,49.69576642,262.7809578,241.0957663,143.5168922,223.9597451,58.95252526,A
g83,HiC_scaffold_1,186173,187031,31.90983465,21.54326128,15.9198154,16.07562755,17.16043107,13.98194314,A
g84,HiC_scaffold_1,187127,191606,11.72717748,3.240053682,14.16275482,51.87089076,35.62636799,102.1803795,A
g85,HiC_scaffold_1,192927,196264,5.514331671,32.55236383,21.01034585,21.46831401,16.22116173,19.91471991,A
g86,HiC_scaffold_1,196660,197513,8.4680854,15.10379727,14.75336315,47.2338116,44.39713416,40.69498097,A
g87,HiC_scaffold_1,197657,199962,7.702348839,4.555535698,16.57708247,17.59929051,10.24178241,19.04475002,A
g88,HiC_scaffold_1,200150,200594,1.638044003,0.544945891,0.40131124,33.15595007,15.06423736,37.05841773,A
g91,HiC_scaffold_1,210628,212788,12.07598485,20.46450009,9.803196151,45.08790251,35.82083079,55.27805636,A
g92,HiC_scaffold_1,213154,214296,120.3137817,508.1488365,775.0871569,1478.428366,1672.306474,3220.157729,A
g93,HiC_scaffold_1,214641,215916,95.20304167,32.05399087,44.66699145,53.51353148,79.93409637,56.64566952,A
g94,HiC_scaffold_1,217485,218931,104.9141648,27.00151958,96.75106803,44.14160531,32.5895422,60.36424102,A
g96,HiC_scaffold_1,224110,226435,0.016739945,0,0,0.255990295,0.104167263,0.250944252,A
g97,HiC_scaffold_1,226466,229010,0.015298889,0,0,3.913501527,2.257129068,7.117636551,A
g98,HiC_scaffold_1,230853,231813,6.486762463,44.04734109,36.49663073,21.52460989,16.79816248,9.564767344,A
g99,HiC_scaffold_1,231964,234322,48.17023531,13.17889791,7.756435829,20.78687561,15.32551373,17.44532812,A
g100,HiC_scaffold_1,234478,237028,62.98922333,29.10486386,3.509442395,30.66659189,22.78558702,18.60693197,A
g101,HiC_scaffold_1,237196,237688,1147.967133,75.25143398,44.00623951,170.4458035,86.70105101,138.31373,A
g102,HiC_scaffold_1,237861,238891,11.11283616,12.729674,7.922729824,19.39677534,9.666131561,15.58857013,A
g103,HiC_scaffold_1,239052,241596,36.93568059,17.21779084,3.943241855,27.9199698,23.73897517,17.23798783,A
g104,HiC_scaffold_1,241752,244011,94.09751677,69.56109775,126.0789655,47.32197515,57.17032081,41.88701496,A
g107,HiC_scaffold_1,249101,250931,0,0.021659251,0,0,0,0,A
g123,HiC_scaffold_1,295787,300112,5.298648144,15.5595903,13.56576109,14.36539493,12.70014464,11.49530926,B
g124,HiC_scaffold_1,300562,302632,4.249351197,7.77853128,14.11719944,24.23529087,15.34769944,19.0611018,A
g125,HiC_scaffold_1,302938,303839,32.21465031,10.61039842,15.8244665,21.82010773,25.91907006,27.7360744,A
g126,HiC_scaffold_1,303919,306889,5.523879232,1.893923379,2.437431272,3.64366889,2.459557629,17.04141386,A
g127,HiC_scaffold_1,307111,307606,1.608931668,6.194252172,3.970949168,10.03718653,6.454811981,7.078328039,A
g128,HiC_scaffold_1,307667,308507,24.08197769,19.36083214,30.20576145,33.2465836,24.56934902,34.74623761,A
g129,HiC_scaffold_1,308935,309205,376.1698495,75.61211168,93.15713318,180.2155893,163.3117667,230.7081744,A
g130,HiC_scaffold_1,309777,311688,5.447916585,6.497796994,18.44184616,14.94852989,13.46654723,10.58055775,A
g131,HiC_scaffold_1,311822,313412,4.962173241,12.75418176,14.57532855,17.47170392,13.31981413,14.08822509,A
g132,HiC_scaffold_1,314150,315164,107.2837401,84.45961006,97.45282541,68.628517,88.64751522,119.5254008,A
g133,HiC_scaffold_1,316430,317993,11.26726995,3.159770274,19.79076096,13.76260052,12.32287138,23.09631999,A
g134,HiC_scaffold_1,318222,320179,14.77553824,11.5085888,29.52308446,29.24533945,36.50509449,25.83072124,A
g135,HiC_scaffold_1,320641,321313,30.39205823,10.60618718,27.49702289,8.211950776,11.84147299,11.93442854,A
g136,HiC_scaffold_1,321532,322931,17.38767931,143.864238,122.2941161,318.2287429,236.9875225,268.9767386,A
g137,HiC_scaffold_1,323520,324806,12.42594057,0.166829385,0.4973493,2.424243629,0.506707968,2.302907871,A
g138,HiC_scaffold_1,325191,326991,11.30459063,9.299226453,2.669461615,30.21357433,19.37680898,24.1970071,A
g139,HiC_scaffold_1,328109,329792,522.1942596,126.7354797,236.6091496,81.33086419,77.39425265,126.2137436,A
g140,HiC_scaffold_1,329992,331197,3.340509627,4.720796265,3.373600634,6.904919317,4.880819886,6.044307779,A
g141,HiC_scaffold_1,331290,332310,38.09999331,15.06121634,14.30349512,21.88385811,21.56490066,19.86935112,A
g142,HiC_scaffold_1,332461,333515,58.07934472,118.8637718,28.39013533,113.4698368,109.2219524,64.46773317,A
g143,HiC_scaffold_1,333698,334761,7.91174013,39.98978697,61.66115479,43.59371487,42.43108633,43.16437911,A
g144,HiC_scaffold_1,334847,336919,19.02046671,13.50275526,6.933303014,44.81533221,24.96472553,49.45381295,A
g146,HiC_scaffold_1,338675,339689,27.43355803,12.60608798,19.83285501,47.25231882,31.95956563,68.3144946,A
g147,HiC_scaffold_1,341469,342615,23.8976662,91.62514032,925.6530825,48.4366896,85.75245942,62.03897129,A
g148,HiC_scaffold_1,342701,343384,1.748473825,1.673408893,28.11126234,6.151340555,3.311281303,5.053600066,A
g149,HiC_scaffold_1,343531,345903,40.84639434,9.251428139,8.695853101,11.41242079,7.531133158,8.888692532,A
g150,HiC_scaffold_1,345974,347758,4.702798109,2.026053199,0.991219085,3.129800859,1.956332218,2.443667053,A
g152,HiC_scaffold_1,350501,352551,1.959442351,1.209709453,3.840938925,2.486012984,2.037371401,2.868875567,A
g153,HiC_scaffold_1,353360,355301,0.546188913,0.289441359,0.58743203,0.816307636,0.682747158,0.792871358,A
g154,HiC_scaffold_1,357012,358017,2.192999272,21.25719637,154.571874,13.50655053,12.91976832,1.055924722,A
g155,HiC_scaffold_1,358334,359081,4.034446743,4.940674382,7.239295051,4.588410903,3.924809812,8.030620641,A
g156,HiC_scaffold_1,359419,359788,0,0.32972237,0,3.323130872,3.49950941,0.576186658,A
g158,HiC_scaffold_1,362967,363336,0,0.107415798,0,2.25479613,1.831502251,1.007486526,A
g161,HiC_scaffold_1,370433,371408,10.42829182,2.337009578,0.987513464,4.389409943,2.271444616,2.177465338,A
g162,HiC_scaffold_1,371838,372975,106.8170414,96.8971457,105.8529727,67.38904268,70.85082855,27.68896062,A
g163,HiC_scaffold_1,373112,377048,0.678324478,0,0.242990116,0.732724748,0.151130635,0.360396812,A
g164,HiC_scaffold_1,377130,378917,5.373273828,1.244812691,2.363404272,3.397230505,2.033135156,2.026588888,A
g165,HiC_scaffold_1,379143,380628,11.87427212,13.17960334,11.39223333,25.12112053,20.41407823,24.93049554,A
g166,HiC_scaffold_1,381093,382158,162.9037606,49.58963335,95.46669514,48.04187962,47.49523857,63.29668214,A
g167,HiC_scaffold_1,382248,384756,49.03736097,26.69764867,5.07834467,26.29069537,21.77136992,18.34618405,A
g168,HiC_scaffold_1,385005,393015,4.94820671,8.931036199,17.85113717,6.336152763,6.209670923,7.118202997,A
g169,HiC_scaffold_1,393196,394286,7.646290334,12.15986275,5.812278618,12.50524687,10.33613744,11.15034061,A
g170,HiC_scaffold_1,394469,395372,71.97307749,120.7833807,154.3180642,64.69897745,66.78642175,70.32040832,A
g171,HiC_scaffold_1,395451,398355,4.572820988,6.963003834,7.488604723,10.70899868,9.528391221,13.93046902,A
g172,HiC_scaffold_1,398433,399469,2.587014244,6.346718962,8.641913809,8.360774905,5.970100675,6.59293593,A
g173,HiC_scaffold_1,399768,401106,24.11001233,42.90342601,99.79527831,122.6977818,162.1068238,223.9358378,A
g174,HiC_scaffold_1,402252,403281,1.98268623,0.288042828,0.590693437,7.955114378,9.138168322,8.527350396,A
g175,HiC_scaffold_1,403876,409332,0,0.009878507,0,6.290812075,5.740333569,7.810497583,A
g176,HiC_scaffold_1,409414,409795,0,0.107652395,0.283128643,0.269891427,0,0.41771562,A
g177,HiC_scaffold_1,412828,413186,1.9155265,2.58190464,8.141886741,13.27943028,9.88256429,6.661299765,A
g178,HiC_scaffold_1,413330,414510,74.2783279,73.10516411,161.5517576,145.0653257,267.9010498,387.9209225,A
g179,HiC_scaffold_1,415114,416494,30.86247357,8.094055143,13.42629903,24.31005285,47.02617659,41.84163176,A
g180,HiC_scaffold_1,416892,418184,7.559219856,6.857347114,29.43053765,46.50836399,41.98878056,72.75223132,A
g181,HiC_scaffold_1,418362,419475,0.682159051,0.788425857,7.375627028,6.000731383,5.842660385,8.246870242,A
g182,HiC_scaffold_1,419781,420916,2.167796948,1.385802524,4.224450505,12.60665578,11.60838456,5.652117834,A
g183,HiC_scaffold_1,421179,422344,1.359373521,1.826565066,5.65263086,21.35611418,16.44991292,6.409586659,A
g184,HiC_scaffold_1,422568,424011,0.808357914,3.003825756,5.010634885,6.654162385,6.307614796,8.606550876,A
g185,HiC_scaffold_1,424036,428520,0.185306476,0.917963596,2.091461383,5.304681765,4.005267313,6.223697822,A
g186,HiC_scaffold_1,428649,429501,12.23881576,0.078124881,0.951221872,2.80745938,1.913865394,23.55152317,A
g187,HiC_scaffold_1,429803,431199,11.17612305,2.866383294,4.961365463,5.150063221,5.889267349,7.013663609,A
g188,HiC_scaffold_1,434340,434899,0.150214754,0,0.214681849,3.619546477,2.382185239,0.965169617,A
g189,HiC_scaffold_1,435058,435476,1.578126672,1.355692641,3.162780754,9.19651536,7.934971023,3.392455602,A
g190,HiC_scaffold_1,435739,436904,1.121965029,2.055008973,5.783845219,22.22910555,15.65463247,6.30747417,A
g191,HiC_scaffold_1,437128,443079,0.429543707,1.607351641,3.110434826,6.197808704,5.124386735,6.511526263,A
g192,HiC_scaffold_1,444539,445392,11.99650252,0,1.091258392,3.234738236,1.807067985,19.0032093,A
g193,HiC_scaffold_1,445694,447942,18.63172443,7.939260597,12.98962529,10.69986874,11.02929633,11.45579603,A
g194,HiC_scaffold_1,448595,450719,4.462921675,42.0631914,29.9912469,77.59407383,79.77374622,139.0720578,A
g195,HiC_scaffold_1,452054,452651,28.94409383,58.99615367,45.37817309,64.70095908,58.22506253,67.13696731,A
g196,HiC_scaffold_1,453357,454068,2.392253675,23.68598792,18.76419857,38.13431709,49.44605361,53.45114466,A
g197,HiC_scaffold_1,454527,455817,0.407535493,0.405851458,0.962526815,4.717392444,4.896039249,4.856309857,A
g198,HiC_scaffold_1,456358,457975,6.00915989,7.268253714,85.5162839,19.90586826,19.79651087,35.91637002,A
g199,HiC_scaffold_1,458155,461867,18.44773718,38.72324166,35.48047058,42.19695255,34.66029216,37.72841503,A
g200,HiC_scaffold_1,462622,463429,38.36207435,3.26727551,4.068408115,8.301750141,5.708692874,8.155376686,A
g201,HiC_scaffold_1,463513,468068,0.611441191,0.546483022,0.630617366,2.810350584,1.9059752,3.137925919,A
g202,HiC_scaffold_1,468917,470294,51.4960176,268.406659,219.2301554,71.18361094,103.3104024,78.8544176,A
g203,HiC_scaffold_1,470436,472058,23.3227524,15.18036821,5.669600426,16.85940954,11.39446605,14.58786582,A
g204,HiC_scaffold_1,472358,474005,5.877862026,28.21398377,13.01796289,9.18403214,8.841989198,6.452993664,A
g205,HiC_scaffold_1,474198,475329,1.766446717,16.28156333,10.11722026,8.600188137,8.943873788,6.209271511,A
g206,HiC_scaffold_1,476770,481420,104.9442814,32.62473497,51.1895912,41.67507399,37.82623265,69.46031223,A
g207,HiC_scaffold_1,481483,483829,2.771431786,0.072463605,0.047378826,2.259902483,0.944050296,3.289224608,A
g208,HiC_scaffold_1,484053,485394,1.831578155,0,0,0.3383712,0.202726343,0.451434341,A
g209,HiC_scaffold_1,485946,487642,85.88639495,86.17453183,17.05616961,82.4242742,47.02416428,39.52947512,A
g210,HiC_scaffold_1,487962,488960,0.57465795,0.258684777,0.534392189,2.987030353,2.269939053,4.62480717,A
g211,HiC_scaffold_1,489068,493166,5.641924157,6.537982547,8.074251005,8.178660144,6.196422433,8.394386327,A
g212,HiC_scaffold_1,493280,495087,54.7568843,296.5970306,82.12335653,499.5733856,386.615058,507.3846524,A
g213,HiC_scaffold_1,495713,499142,7.777639493,9.13674405,4.611720884,16.07834706,10.56183432,13.38253592,A
g214,HiC_scaffold_1,499347,500258,1090.270319,1.37385922,2.93379465,5.542750187,2.546969155,4.506179425,A
g215,HiC_scaffold_1,500506,501853,77.67259516,10.46691026,5.581295353,4.727034273,3.501007157,3.822369798,A
g216,HiC_scaffold_1,501937,502776,6.202910398,2.902528078,3.638100489,14.37571758,12.54304993,6.324355017,A
g217,HiC_scaffold_1,502859,505590,5.13780117,2.201861043,1.430485195,3.00915393,1.896758739,2.80569652,A
g218,HiC_scaffold_1,505614,507497,4.065558362,4.412835568,2.242507718,7.488682618,7.167545993,6.288346404,A
g219,HiC_scaffold_1,507619,509434,3.199299309,13.41806328,10.61664169,15.83318918,16.6518838,17.22782111,A
g220,HiC_scaffold_1,510100,511261,10.13299145,7.256978196,5.740056006,13.76762629,15.60386767,17.06709164,A
g221,HiC_scaffold_1,511347,513835,2.911277046,3.448623254,3.255814155,3.935631871,3.991493912,3.890131803,A
g222,HiC_scaffold_1,514398,515132,439.030146,749.4936764,405.8163473,850.8705248,693.4982402,702.4502907,A
g227,HiC_scaffold_1,532013,533451,0,0,0.025419442,0,0,0,B
g235,HiC_scaffold_1,546022,546427,0,0.097867727,0,0.442389014,2.128258215,0.524204619,A
g247,HiC_scaffold_1,574516,575249,200.0003659,581.9812979,734.8294603,1316.224972,978.8488861,1382.717483,A
g248,HiC_scaffold_1,575590,576073,7.817190941,16.38352594,21.27504263,104.0317114,71.80896923,104.505156,A
g249,HiC_scaffold_1,576224,577501,30.08036237,8.218643795,13.94799766,10.76717813,9.520071926,11.25088432,A
g250,HiC_scaffold_1,577619,580178,21.99914934,23.25024768,10.97607369,26.272563,23.7518965,20.27359465,A
g251,HiC_scaffold_1,580366,581124,4.360962464,0.056948893,1.122750635,1.065509774,0.425469829,1.907902962,A
g252,HiC_scaffold_1,581250,581940,63.63429808,28.60480211,15.93985868,49.90471083,41.75519598,28.84089354,A
g253,HiC_scaffold_1,581981,584391,26.89782526,3.639910718,16.10849785,13.4450827,6.608908313,5.603861035,A
g254,HiC_scaffold_1,584667,585948,10.57236819,1.355258802,11.28797036,10.15293149,4.730869319,4.059590402,A
g255,HiC_scaffold_1,586141,588975,6.149489995,7.550787554,14.59661298,54.70475332,34.3658188,39.24592013,A
g256,HiC_scaffold_1,590016,591852,1.742391599,0.328334008,12.34657109,10.16972495,2.882318397,9.654795568,A
g257,HiC_scaffold_1,592193,592541,6.119718306,1.477142709,8.762983137,20.56117007,12.45115936,29.93049619,A
g258,HiC_scaffold_1,592594,594360,7.885535775,3.338576931,2.834877077,4.749564912,2.918392884,4.307529269,A
g259,HiC_scaffold_1,594512,596116,28.54752073,17.79182688,28.6315814,26.1665708,16.96442692,17.73657094,A
g260,HiC_scaffold_1,596185,596822,4924.032087,6335.49545,5963.819251,3946.22008,5001.859155,5163.626658,A
g261,HiC_scaffold_1,598180,601615,240.1664571,146.0006569,41.27449644,44.88340099,48.01377417,29.44653057,A
g262,HiC_scaffold_1,601711,602481,2.948997548,1.613094584,1.689843688,20.27848795,14.08278247,11.94980118,A
g273,HiC_scaffold_1,636952,638431,0,0.026799479,0,9.037372916,11.89030485,11.0569379,A
g274,HiC_scaffold_1,638724,639707,0.040499076,0.0878562,0.077464517,64.95758063,93.89269932,103.0325423,A
g275,HiC_scaffold_1,642371,642620,0.305616565,0,0.426777169,0.100098795,0.106170387,0,A
g276,HiC_scaffold_1,642426,642958,1.499636308,0.145445257,2.51602754,1.679732874,0.963904608,1.317207524,A
g278,HiC_scaffold_1,643634,644166,1.211249113,1.725780914,1.637693785,1.668632754,0.855048312,2.068955269,A
g279,HiC_scaffold_1,644442,645738,61.54728386,20.82077068,114.6916822,28.66164798,43.47123871,24.57372071,A
g280,HiC_scaffold_1,646145,647381,0.479432303,0.156424289,0.845394302,1.422735659,0.927256979,0.880794113,A
g281,HiC_scaffold_1,647457,648425,6.605672505,4.652493929,3.658732685,17.14005091,16.02819554,21.26427145,A
g282,HiC_scaffold_1,648945,651894,2.63938544,0.560419216,0.532414081,2.104186718,1.60166615,1.853333804,A
g283,HiC_scaffold_1,652052,652941,56.08372314,14.55083507,2.767017335,51.67280059,40.08017455,21.79431819,A
g284,HiC_scaffold_1,653114,654072,2.37178499,4.540343331,5.653493023,9.491884687,6.552134631,7.632470645,A
g285,HiC_scaffold_1,654206,655099,5.6406763,12.34940891,31.22594759,25.3100005,18.85741131,30.27872625,A
g286,HiC_scaffold_1,655237,656302,33.30582106,30.626486,42.0160411,22.76795823,25.4195027,18.69369131,A
g287,HiC_scaffold_1,656652,657038,308.7732297,422.1989431,269.1874041,674.6720306,632.5353417,470.7305426,A
g288,HiC_scaffold_1,657247,658027,20.41036473,52.18658299,40.50486294,44.39608996,43.90765503,30.75086589,A
g289,HiC_scaffold_1,658755,659727,1.5861383,0.208147681,0.109328719,1.098042171,0.829090471,0.709302282,A
g290,HiC_scaffold_1,660726,661710,0.379597293,0.777951582,2.069849862,14.62404419,4.721879933,5.884756943,A
g291,HiC_scaffold_1,664468,665711,9.610349154,10.70656458,14.53633626,25.09684177,18.67801035,29.57728271,A
g292,HiC_scaffold_1,665849,666617,11.47816836,11.49472042,12.91951707,18.15828941,12.38439804,13.68257431,A
g293,HiC_scaffold_1,666685,668200,12.59751434,17.74698553,14.67620246,23.07817164,17.01107163,13.5476599,A
g294,HiC_scaffold_1,668322,670407,46.73119723,150.0570296,330.2349411,24.71771539,36.93318845,13.52006172,A
g295,HiC_scaffold_1,670849,672889,1.220757183,0.670747841,2.230978084,3.938415526,1.705657376,2.055649119,A
g296,HiC_scaffold_1,673331,674307,14.56625664,0.976174001,6.715811068,6.462311684,4.691455253,4.509909205,A
g297,HiC_scaffold_1,674921,675979,0,0,0.071830734,5.998890521,4.514552228,5.895892838,A
g298,HiC_scaffold_1,676243,682121,1.835386337,0.264381017,0.843520272,0.997897652,0.58090453,0.994715617,A
g299,HiC_scaffold_1,682294,685248,16.1401532,12.67347793,24.33323516,14.6650798,14.47446308,22.62045359,A
g300,HiC_scaffold_1,687126,688548,594.3904161,152.3413074,96.2974806,115.3976436,113.4131772,157.8089359,A
g326,HiC_scaffold_1,789741,790704,3.791877941,46.1208963,63.11848853,59.49307074,61.31852282,58.85796088,B
g327,HiC_scaffold_1,790825,791488,2.269303584,3.090558916,6.271600789,15.01580513,12.3415074,5.440390276,A
g328,HiC_scaffold_1,791706,792414,10.2856642,87.03327053,214.8338175,105.4902295,143.9104343,30.56192434,A
g329,HiC_scaffold_1,792968,795038,1.020093841,0.289219246,1.476051975,3.842889493,3.129326075,0.589542994,A
g330,HiC_scaffold_1,795940,798028,0.654352969,0.018982964,0.068115351,0.219364704,0.116501029,0.076369568,A
g331,HiC_scaffold_1,798308,800438,1.616172451,0,0.033009473,0.288923327,0.176761288,0.199636504,A
g332,HiC_scaffold_1,800727,802830,2.012596818,0.038350923,0.067629507,0.387448162,0.13979861,0.3279847,A
g333,HiC_scaffold_1,802910,804965,4.78151449,0.137027934,0.294334184,2.42293363,2.323141511,2.73689588,A
g334,HiC_scaffold_1,805698,807921,503.8970845,100.0897036,90.20465883,103.5262824,111.8181411,171.918434,A
g335,HiC_scaffold_1,808115,809951,0.042396921,0.022339631,0,47.67980173,31.05887492,113.7926019,A
g336,HiC_scaffold_1,810322,810703,100.3976939,1107.077039,1127.910043,774.5801684,749.3684307,795.5194463,A
g337,HiC_scaffold_1,810853,812082,2.902938911,6.31700483,4.181387862,6.930162931,4.545422156,6.671142114,A
g338,HiC_scaffold_1,812148,812993,4.146124597,5.343393702,2.744773008,33.59092619,20.11755363,21.79084249,A
g339,HiC_scaffold_1,813067,815191,9.034395489,4.341596661,5.628488761,7.681191671,5.523574687,6.923183306,A
g340,HiC_scaffold_1,815322,816065,0,0.097867727,0.08878355,0.123084444,0.266361062,0,A
g341,HiC_scaffold_1,818861,820064,45.70753394,2.667938552,22.02455492,6.415771785,6.294635253,11.12248624,A
g342,HiC_scaffold_1,821257,822580,1.43009054,29.56108874,4.526596031,5.429015674,18.58959952,2.769820153,A
g343,HiC_scaffold_1,822987,824373,12.39893238,9.597706033,1.260800191,0.365308502,0.391469651,1.836778072,A
g344,HiC_scaffold_1,825628,826882,1.301246192,2.019898335,1.447665467,5.204348858,4.136029613,4.530210784,A
g345,HiC_scaffold_1,826932,828213,0.444861689,1.6358881,2.69959293,9.746285658,4.989327965,25.94470292,A
g346,HiC_scaffold_1,828452,829787,1.713132344,112.1160907,154.2775058,4.520042306,8.293151392,11.01625572,A
g347,HiC_scaffold_1,830673,831876,1.858124901,1.808998045,5.211909608,2.658791516,1.832976841,7.678977491,A
g348,HiC_scaffold_1,832214,833396,7.897300317,38.68692203,45.14473922,7.854948226,25.2265651,21.73241735,A
g349,HiC_scaffold_1,835650,841589,0.006694251,0,0,9.174246288,4.587258357,2.811983327,A
g351,HiC_scaffold_1,844798,845690,6.83851753,1.474649641,4.575054506,5.616339946,4.80329879,4.778433109,A
g352,HiC_scaffold_1,845969,846611,76.68857901,1945.207931,1410.797194,1079.26386,924.8973168,1324.652314,A
g353,HiC_scaffold_1,847124,848600,31.25432648,23.17112599,4.976584277,25.35052635,19.88645106,10.57272764,A
g354,HiC_scaffold_1,848708,850463,4.906948327,5.100638888,15.30784418,45.28804903,38.52394721,62.36735029,A
g355,HiC_scaffold_1,851500,852820,122.6321558,48.32173676,68.12470829,78.94102114,100.1366088,139.2757997,A
g356,HiC_scaffold_1,852947,855202,1.243430003,0.05671307,0.202679658,0.875558041,0.966359438,1.150588396,A
