# BUSCO version is: 5.2.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
10425at33634	Complete	HiC_scaffold_12	3004860	3006320	+	720.8	351	https://v10-1.orthodb.org/?query=10425at33634	Pseudouridine synthase, catalytic domain superfamily
10799at33634	Complete	HiC_scaffold_1	2895912	2897374	-	584.4	364	https://v10-1.orthodb.org/?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Complete	HiC_scaffold_3	1337685	1340006	+	642.3	376	https://v10-1.orthodb.org/?query=11504at33634	RNA helicase
12069at33634	Complete	HiC_scaffold_14	1624240	1625312	-	435.4	264	https://v10-1.orthodb.org/?query=12069at33634	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
12249at33634	Complete	HiC_scaffold_7	3169438	3171327	+	530.3	357	https://v10-1.orthodb.org/?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Complete	HiC_scaffold_15	1410554	1411429	-	277.3	228	https://v10-1.orthodb.org/?query=12363at33634	Coatomer subunit epsilon
12382at33634	Complete	HiC_scaffold_5	1949711	1951138	+	739.8	377	https://v10-1.orthodb.org/?query=12382at33634	Helicase, C-terminal
12562at33634	Complete	HiC_scaffold_1	968355	970502	-	768.4	537	https://v10-1.orthodb.org/?query=12562at33634	WD40 repeat
12626at33634	Complete	HiC_scaffold_5	3838555	3840159	+	468.1	334	https://v10-1.orthodb.org/?query=12626at33634	MFS transporter, PAT family, solute carrier family 33 (Acetyl-CoA transportor), member 1
12684at33634	Complete	HiC_scaffold_2	3385525	3387003	-	340.2	236	https://v10-1.orthodb.org/?query=12684at33634	Polymerase, nucleotidyl transferase domain
12693at33634	Complete	HiC_scaffold_6	2836299	2837555	-	327.6	286	https://v10-1.orthodb.org/?query=12693at33634	Tetratricopeptide repeat
13102at33634	Complete	HiC_scaffold_2	2620526	2622884	+	588.5	398	https://v10-1.orthodb.org/?query=13102at33634	Large subunit GTPase 1
13476at33634	Duplicated	HiC_scaffold_2	4289537	4290759	-	354.2	202	https://v10-1.orthodb.org/?query=13476at33634	Proteasome subunit beta type
13476at33634	Duplicated	HiC_scaffold_2	4277011	4278243	-	349.0	202	https://v10-1.orthodb.org/?query=13476at33634	Proteasome subunit beta type
13537at33634	Complete	HiC_scaffold_4	4101834	4102775	-	369.4	212	https://v10-1.orthodb.org/?query=13537at33634	Methyltransferase type 11
13819at33634	Complete	HiC_scaffold_3	3947324	3948916	-	569.3	361	https://v10-1.orthodb.org/?query=13819at33634	Ubiquitin-activating enzyme
13832at33634	Complete	HiC_scaffold_7	2700168	2701232	+	285.2	229	https://v10-1.orthodb.org/?query=13832at33634	PPM-type phosphatase domain
14113at33634	Complete	HiC_scaffold_7	4256203	4257783	+	533.8	332	https://v10-1.orthodb.org/?query=14113at33634	Dynamin superfamily
15177at33634	Complete	HiC_scaffold_14	2045403	2048242	-	448.1	268	https://v10-1.orthodb.org/?query=15177at33634	WD40-repeat-containing domain
15216at33634	Complete	HiC_scaffold_8	971727	972727	+	297.6	210	https://v10-1.orthodb.org/?query=15216at33634	Pantoate-beta-alanine ligase
15242at33634	Complete	HiC_scaffold_11	2387318	2388184	+	367.1	198	https://v10-1.orthodb.org/?query=15242at33634	Proteasome subunit beta type
15351at33634	Complete	HiC_scaffold_11	1523755	1524696	+	356.5	211	https://v10-1.orthodb.org/?query=15351at33634	Proteasome subunit alpha type
15520at33634	Complete	HiC_scaffold_2	5661680	5669501	-	477.4	306	https://v10-1.orthodb.org/?query=15520at33634	Flap endonuclease 1
15827at33634	Complete	HiC_scaffold_7	4229717	4232273	-	450.8	293	https://v10-1.orthodb.org/?query=15827at33634	Glycosyl transferase, family 4
15969at33634	Complete	HiC_scaffold_16	1201299	1202573	-	367.4	321	https://v10-1.orthodb.org/?query=15969at33634	Calreticulin
16248at33634	Complete	HiC_scaffold_1	9875055	9875986	+	262.8	190	https://v10-1.orthodb.org/?query=16248at33634	Impact, N-terminal
17057at33634	Complete	HiC_scaffold_2	4499999	4501669	-	518.8	417	https://v10-1.orthodb.org/?query=17057at33634	Pumilio homology domain
17622at33634	Complete	HiC_scaffold_11	1416963	1418827	+	333.5	240	https://v10-1.orthodb.org/?query=17622at33634	Histone acetyltransferase
17887at33634	Complete	HiC_scaffold_2	1488252	1489088	-	224.0	173	https://v10-1.orthodb.org/?query=17887at33634	Pyridoxal phosphate homeostasis protein
18069at33634	Complete	HiC_scaffold_8	1336281	1336898	-	238.4	160	https://v10-1.orthodb.org/?query=18069at33634	RNA polymerase, Rpb5, N-terminal
18429at33634	Complete	HiC_scaffold_6	119097	119672	-	62.4	163	https://v10-1.orthodb.org/?query=18429at33634	Cyclin
18432at33634	Duplicated	HiC_scaffold_5	1083786	1084885	-	347.2	259	https://v10-1.orthodb.org/?query=18432at33634	von Willebrand factor A-like domain superfamily
18432at33634	Duplicated	HiC_scaffold_5	1389027	1390129	+	346.7	241	https://v10-1.orthodb.org/?query=18432at33634	von Willebrand factor A-like domain superfamily
18615at33634	Complete	HiC_scaffold_6	3544859	3546942	-	428.3	371	https://v10-1.orthodb.org/?query=18615at33634	GDP dissociation inhibitor
19366at33634	Complete	HiC_scaffold_2	4768015	4768889	-	132.8	129	https://v10-1.orthodb.org/?query=19366at33634	HAD superfamily
19836at33634	Complete	HiC_scaffold_4	4085302	4086924	+	419.2	383	https://v10-1.orthodb.org/?query=19836at33634	Cactin, central domain
19891at33634	Complete	HiC_scaffold_3	332898	333920	+	372.4	250	https://v10-1.orthodb.org/?query=19891at33634	Brix domain
20044at33634	Complete	HiC_scaffold_11	1693494	1696333	+	597.0	507	https://v10-1.orthodb.org/?query=20044at33634	DNA mismatch repair protein Mlh1
20182at33634	Complete	HiC_scaffold_3	254976	256026	-	370.3	246	https://v10-1.orthodb.org/?query=20182at33634	Short-chain dehydrogenase/reductase, conserved site
20769at33634	Complete	HiC_scaffold_4	2428084	2428792	-	220.1	135	https://v10-1.orthodb.org/?query=20769at33634	Adenylate kinase isoenzyme 6
21097at33634	Complete	HiC_scaffold_2	5636243	5638460	-	630.5	484	https://v10-1.orthodb.org/?query=21097at33634	Signal recognition particle receptor subunit alpha
21875at33634	Complete	HiC_scaffold_13	648965	650218	+	287.5	214	https://v10-1.orthodb.org/?query=21875at33634	TatD family
22080at33634	Complete	HiC_scaffold_6	796423	796968	-	341.8	171	https://v10-1.orthodb.org/?query=22080at33634	PUA domain
22950at33634	Complete	HiC_scaffold_2	3986820	3987800	-	354.1	230	https://v10-1.orthodb.org/?query=22950at33634	Proteasome endopeptidase complex
23030at33634	Complete	HiC_scaffold_4	1116569	1117394	+	185.4	121	https://v10-1.orthodb.org/?query=23030at33634	Ribosomal RNA-processing protein
23917at33634	Complete	HiC_scaffold_11	1413468	1414116	-	157.7	116	https://v10-1.orthodb.org/?query=23917at33634	Mago nashi protein
23923at33634	Complete	HiC_scaffold_12	3003083	3004663	-	263.1	156	https://v10-1.orthodb.org/?query=23923at33634	RNA-binding S4 domain
24919at33634	Complete	HiC_scaffold_1	3134476	3134911	-	129.1	82	https://v10-1.orthodb.org/?query=24919at33634	DNA-directed RNA polymerase subunit
25187at33634	Complete	HiC_scaffold_8	606663	607164	-	185.3	100	https://v10-1.orthodb.org/?query=25187at33634	Ribosomal protein L7Ae/L30e/S12e/Gadd45
25189at33634	Complete	HiC_scaffold_6	1596206	1596685	-	228.2	127	https://v10-1.orthodb.org/?query=25189at33634	Mitochondrial import inner membrane translocase subunit Tim17, putative
26150at33634	Complete	HiC_scaffold_15	2373343	2374346	+	224.3	173	https://v10-1.orthodb.org/?query=26150at33634	6-phosphogluconolactonase
26258at33634	Complete	HiC_scaffold_2	2412740	2413123	-	207.8	97	https://v10-1.orthodb.org/?query=26258at33634	Ribosomal protein L7Ae/L30e/S12e/Gadd45
26307at33634	Complete	HiC_scaffold_2	595281	595988	-	260.9	179	https://v10-1.orthodb.org/?query=26307at33634	dUTPase-like
26441at33634	Complete	HiC_scaffold_6	3071036	3071353	-	149.1	84	https://v10-1.orthodb.org/?query=26441at33634	LSM domain, eukaryotic/archaea-type
27268at33634	Complete	HiC_scaffold_11	2049363	2050300	-	232.3	173	https://v10-1.orthodb.org/?query=27268at33634	Protein kinase domain
27409at33634	Complete	HiC_scaffold_3	2778275	2778841	+	172.1	127	https://v10-1.orthodb.org/?query=27409at33634	Protein-tyrosine phosphatase, catalytic
27410at33634	Complete	HiC_scaffold_7	4273570	4277528	+	221.8	135	https://v10-1.orthodb.org/?query=27410at33634	Protein RER1
27411at33634	Complete	HiC_scaffold_5	840672	841334	-	217.7	144	https://v10-1.orthodb.org/?query=27411at33634	GrpE nucleotide exchange factor
28151at33634	Complete	HiC_scaffold_10	1190442	1191345	-	168.9	154	https://v10-1.orthodb.org/?query=28151at33634	YbaK/aminoacyl-tRNA synthetase-associated domain
28445at33634	Complete	HiC_scaffold_6	2962643	2965187	+	152.2	104	https://v10-1.orthodb.org/?query=28445at33634	Nuclear transport factor 2
31838at33634	Complete	HiC_scaffold_6	2664791	2665248	-	122.5	100	https://v10-1.orthodb.org/?query=31838at33634	MRPL25 domain
