chromosome	start	end	motif_id	sequence_name	strand	start.1	stop	anchor_annotation
HiC_scaffold_1	1920000	1925000	HLH	7	+	1671	1680	TAD_7
HiC_scaffold_1	1920000	1925000	CENP-B_N	7	+	3643	3652	TAD_7
HiC_scaffold_1	1920000	1925000	Homeobox	7	+	3569	3578	TAD_7
HiC_scaffold_1	1920000	1925000	HSF_DNA-bind	7	-	4902	4915	TAD_7
HiC_scaffold_1	2000000	2010000	bZIP_1	8	+	44	53	TAD_7
HiC_scaffold_1	2000000	2010000	bZIP_1	8	+	8073	8082	TAD_7
HiC_scaffold_1	2000000	2010000	HLH	8	-	4089	4098	TAD_7
HiC_scaffold_1	2000000	2010000	HSF_DNA-bind	8	+	4526	4535	TAD_7
HiC_scaffold_1	2000000	2010000	Myb_DNA-binding	8	-	5104	5114	TAD_7
HiC_scaffold_1	2000000	2010000	Myb_DNA-binding	8	-	6642	6652	TAD_7
HiC_scaffold_1	2000000	2010000	Myb_DNA-binding	8	+	6645	6655	TAD_7
HiC_scaffold_1	2000000	2010000	bZIP_1	8	-	1836	1850	TAD_7
HiC_scaffold_1	2000000	2010000	bZIP_1	8	-	8425	8439	TAD_7
HiC_scaffold_1	2000000	2010000	bZIP_1	8	+	8432	8446	TAD_7
HiC_scaffold_1	2000000	2010000	Homeobox	8	-	7789	7798	TAD_7
HiC_scaffold_1	2460000	2465000	zf-C2H2	9	+	2893	2906	TAD_9
HiC_scaffold_1	2460000	2465000	Myb_DNA-binding	9	+	4349	4358	TAD_9
HiC_scaffold_1	2460000	2465000	zf-C2H2	9	-	4328	4337	TAD_9
HiC_scaffold_1	2495000	2500000	Homeobox	10	+	719	729	TAD_9
HiC_scaffold_1	2495000	2500000	zf-C2H2	10	+	3756	3766	TAD_9
HiC_scaffold_1	2495000	2500000	zf-C2H2	10	+	3943	3956	TAD_9
HiC_scaffold_1	2495000	2500000	zf-C2H2	10	-	1430	1440	TAD_9
HiC_scaffold_1	2495000	2500000	bZIP_1	10	-	1429	1438	TAD_9
HiC_scaffold_1	2495000	2500000	Myb_DNA-binding	10	-	4850	4859	TAD_9
HiC_scaffold_1	2495000	2500000	HLH	10	+	1112	1121	TAD_9
HiC_scaffold_1	2495000	2500000	bZIP_1	10	+	3045	3055	TAD_9
HiC_scaffold_1	2495000	2500000	bZIP_1	10	+	3044	3055	TAD_9
HiC_scaffold_1	2495000	2500000	bZIP_1	10	+	4779	4790	TAD_9
HiC_scaffold_1	2495000	2500000	bZIP_1	10	-	4013	4023	TAD_9
HiC_scaffold_1	2900000	2905000	Homeobox	11	-	1419	1428	TAD_11
HiC_scaffold_1	2900000	2905000	Homeobox	11	-	2771	2780	TAD_11
HiC_scaffold_1	2900000	2905000	zf-C2H2	11	+	4905	4918	TAD_11
HiC_scaffold_1	2900000	2905000	bZIP_1	11	-	4351	4360	TAD_11
HiC_scaffold_1	2900000	2905000	CSD	11	-	4183	4192	TAD_11
HiC_scaffold_1	2900000	2905000	CSD	11	+	4183	4192	TAD_11
HiC_scaffold_1	2900000	2905000	HLH	11	-	4183	4192	TAD_11
HiC_scaffold_1	2900000	2905000	HLH	11	+	4183	4192	TAD_11
HiC_scaffold_1	2900000	2905000	HLH	11	+	3515	3525	TAD_11
HiC_scaffold_1	2900000	2905000	HSF_DNA-bind	11	-	472	485	TAD_11
HiC_scaffold_1	2920000	2925000	Myb_DNA-binding	12	+	1146	1157	TAD_11
HiC_scaffold_1	2920000	2925000	zf-C2H2	12	-	2646	2656	TAD_11
HiC_scaffold_1	2920000	2925000	HSF_DNA-bind	12	+	3300	3312	TAD_11
HiC_scaffold_1	2920000	2925000	E2F_TDP	12	-	3066	3077	TAD_11
HiC_scaffold_1	2920000	2925000	HSF_DNA-bind	12	-	3301	3311	TAD_11
HiC_scaffold_1	2920000	2925000	HLH	12	-	4259	4269	TAD_11
HiC_scaffold_1	2920000	2925000	zf-C2H2	12	+	3410	3419	TAD_11
HiC_scaffold_1	3280000	3290000	zf-C2H2	13	+	3061	3071	TAD_11
HiC_scaffold_1	3280000	3290000	zf-C2H2	13	+	6825	6835	TAD_11
HiC_scaffold_1	3280000	3290000	zf-C2H2	13	+	8129	8139	TAD_11
HiC_scaffold_1	3280000	3290000	bZIP_1	13	-	6286	6296	TAD_11
HiC_scaffold_1	3280000	3290000	bZIP_1	13	-	7590	7600	TAD_11
HiC_scaffold_1	3280000	3290000	Homeobox	13	-	381	391	TAD_11
HiC_scaffold_1	3280000	3290000	E2F_TDP	13	+	5439	5450	TAD_11
HiC_scaffold_1	3280000	3290000	zf-C2H2	13	-	8645	8655	TAD_11
HiC_scaffold_1	3280000	3290000	bZIP_1	13	+	2556	2565	TAD_11
HiC_scaffold_1	3280000	3290000	bZIP_1	13	-	3751	3760	TAD_11
HiC_scaffold_1	3280000	3290000	HSF_DNA-bind	13	-	5643	5653	TAD_11
HiC_scaffold_1	3280000	3290000	HLH	13	-	6013	6023	TAD_11
HiC_scaffold_1	3280000	3290000	HLH	13	-	7298	7308	TAD_11
HiC_scaffold_1	3280000	3290000	HSF_DNA-bind	13	+	5644	5655	TAD_11
HiC_scaffold_1	3280000	3290000	AP2	13	+	6320	6328	TAD_11
HiC_scaffold_1	3280000	3290000	AP2	13	+	7624	7632	TAD_11
HiC_scaffold_1	3600000	3610000	Myb_DNA-binding	14	+	2183	2193	TAD_11
HiC_scaffold_1	3600000	3610000	zf-C2H2	14	-	7348	7358	TAD_11
HiC_scaffold_1	3600000	3610000	bZIP_1	14	-	3068	3077	TAD_11
HiC_scaffold_1	3600000	3610000	E2F_TDP	14	+	5178	5189	TAD_11
HiC_scaffold_1	3600000	3610000	HSF_DNA-bind	14	+	2778	2787	TAD_11
HiC_scaffold_1	3600000	3610000	bZIP_1	14	+	8053	8064	TAD_11
HiC_scaffold_1	3600000	3610000	HLH	14	-	4393	4403	TAD_11
HiC_scaffold_1	3600000	3610000	BrkDBD	14	+	9613	9622	TAD_11
HiC_scaffold_1	4075000	4080000	Homeobox	16	-	958	968	TAD_12
HiC_scaffold_1	4075000	4080000	E2F_TDP	16	-	3240	3251	TAD_12
HiC_scaffold_1	4075000	4080000	E2F_TDP	16	+	3240	3251	TAD_12
HiC_scaffold_1	4075000	4080000	zf-C2H2	16	-	4595	4605	TAD_12
HiC_scaffold_1	4075000	4080000	zf-C2H2	16	-	959	969	TAD_12
HiC_scaffold_1	4075000	4080000	Homeobox	16	-	2594	2603	TAD_12
HiC_scaffold_1	4075000	4080000	BrkDBD	16	-	2962	2972	TAD_12
HiC_scaffold_1	4075000	4080000	zf-C2H2	16	+	956	965	TAD_12
HiC_scaffold_1	4075000	4080000	Homeobox	16	+	4614	4624	TAD_12
HiC_scaffold_1	4130000	4135000	E2F_TDP	17	-	2120	2131	Boundary
HiC_scaffold_1	4130000	4135000	E2F_TDP	17	+	2120	2131	Boundary
HiC_scaffold_1	4130000	4135000	Homeobox	17	+	2759	2768	Boundary
HiC_scaffold_1	4130000	4135000	BrkDBD	17	+	2399	2409	Boundary
HiC_scaffold_1	4130000	4135000	zf-C2H2	17	-	4409	4418	Boundary
HiC_scaffold_1	4130000	4135000	BrkDBD	17	-	17	26	Boundary
HiC_scaffold_1	4170000	4180000	Myb_DNA-binding	18	+	4720	4730	TAD_13
HiC_scaffold_1	4170000	4180000	zf-C2H2	18	-	4184	4197	TAD_13
HiC_scaffold_1	4170000	4180000	HLH	18	-	3692	3701	TAD_13
HiC_scaffold_1	4170000	4180000	HLH	18	+	3692	3701	TAD_13
HiC_scaffold_1	4170000	4180000	HSF_DNA-bind	18	-	7205	7214	TAD_13
HiC_scaffold_1	4170000	4180000	Myb_DNA-binding	18	+	4721	4729	TAD_13
HiC_scaffold_1	4170000	4180000	Myb_DNA-binding	18	+	4720	4730	TAD_13
HiC_scaffold_1	4170000	4180000	bZIP_1	18	+	8316	8326	TAD_13
HiC_scaffold_1	4170000	4180000	bZIP_1	18	+	8315	8326	TAD_13
HiC_scaffold_1	4170000	4180000	bZIP_1	18	-	7276	7285	TAD_13
HiC_scaffold_1	4170000	4180000	HLH	18	+	8724	8733	TAD_13
HiC_scaffold_1	4170000	4180000	zf-C2H2	18	+	7789	7799	TAD_13
HiC_scaffold_1	4170000	4180000	HLH	18	+	6809	6819	TAD_13
HiC_scaffold_1	4170000	4180000	BrkDBD	18	-	4278	4288	TAD_13
HiC_scaffold_1	4250000	4260000	zf-C2H2	19	-	8619	8629	TAD_13
HiC_scaffold_1	4250000	4260000	bZIP_1	19	+	890	899	TAD_13
HiC_scaffold_1	4250000	4260000	Myb_DNA-binding	19	-	355	364	TAD_13
HiC_scaffold_1	4250000	4260000	Myb_DNA-binding	19	-	3286	3296	TAD_13
HiC_scaffold_1	4250000	4260000	HLH	19	-	2671	2680	TAD_13
HiC_scaffold_1	4250000	4260000	CSD	19	-	7530	7539	TAD_13
HiC_scaffold_1	4250000	4260000	HLH	19	-	7530	7539	TAD_13
HiC_scaffold_1	4250000	4260000	HSF_DNA-bind	19	+	7036	7048	TAD_13
HiC_scaffold_1	4250000	4260000	zf-C2H2	19	+	1018	1027	TAD_13
HiC_scaffold_1	5240000	5245000	zf-C2H2	20	-	2523	2531	TAD_16
HiC_scaffold_1	5240000	5245000	zf-C2H2	20	+	674	687	TAD_16
HiC_scaffold_1	5240000	5245000	HSF_DNA-bind	20	+	734	743	TAD_16
HiC_scaffold_1	5240000	5245000	zf-C2H2	20	-	4925	4935	TAD_16
HiC_scaffold_1	5240000	5245000	zf-C2H2	20	+	3001	3010	TAD_16
HiC_scaffold_1	5240000	5245000	HLH	20	-	508	518	TAD_16
HiC_scaffold_1	5630000	5640000	Homeobox	21	-	6316	6326	TAD_16
HiC_scaffold_1	5630000	5640000	bZIP_1	21	+	8262	8271	TAD_16
HiC_scaffold_1	5630000	5640000	zf-C2H2	21	-	5514	5524	TAD_16
HiC_scaffold_1	5630000	5640000	bZIP_1	21	+	5182	5191	TAD_16
HiC_scaffold_1	5630000	5640000	Homeobox	21	-	459	468	TAD_16
HiC_scaffold_1	5630000	5640000	zf-C2H2	21	+	1036	1045	TAD_16
HiC_scaffold_1	5660000	5665000	CSD	22	+	3156	3165	TAD_16
HiC_scaffold_1	5660000	5665000	HLH	22	-	2784	2793	TAD_16
HiC_scaffold_1	5660000	5665000	HLH	22	+	2784	2793	TAD_16
HiC_scaffold_1	5660000	5665000	HTH_psq	22	+	4393	4402	TAD_16
HiC_scaffold_1	5660000	5665000	bZIP_1	22	-	1800	1810	TAD_16
HiC_scaffold_1	5660000	5665000	HSF_DNA-bind	22	+	1147	1159	TAD_16
HiC_scaffold_1	5700000	5710000	zf-C2H2	23	+	10	18	TAD_16
HiC_scaffold_1	5700000	5710000	CENP-B_N	23	-	5592	5602	TAD_16
HiC_scaffold_1	5700000	5710000	bZIP_1	23	-	4601	4612	TAD_16
HiC_scaffold_1	5700000	5710000	CSD	23	-	7444	7453	TAD_16
HiC_scaffold_1	5700000	5710000	CSD	23	-	9322	9331	TAD_16
HiC_scaffold_1	5700000	5710000	bZIP_1	23	+	70	79	TAD_16
HiC_scaffold_1	5700000	5710000	HLH	23	+	9322	9331	TAD_16
HiC_scaffold_1	5700000	5710000	HLH	23	-	9322	9331	TAD_16
HiC_scaffold_1	5700000	5710000	zf-C2H2	23	+	5835	5844	TAD_16
HiC_scaffold_1	5700000	5710000	BrkDBD	23	-	5883	5893	TAD_16
HiC_scaffold_1	5700000	5710000	Myb_DNA-binding	23	+	255	264	TAD_16
HiC_scaffold_1	5850000	5860000	Homeobox	24	+	6500	6510	TAD_16
HiC_scaffold_1	5850000	5860000	zf-C2H2	24	+	9853	9866	TAD_16
HiC_scaffold_1	5850000	5860000	bZIP_1	24	+	9442	9451	TAD_16
HiC_scaffold_1	5850000	5860000	HSF_DNA-bind	24	-	7449	7462	TAD_16
HiC_scaffold_1	5850000	5860000	HLH	24	+	3187	3196	TAD_16
HiC_scaffold_1	5850000	5860000	bZIP_1	24	-	1747	1757	TAD_16
HiC_scaffold_1	5850000	5860000	bZIP_1	24	-	1747	1758	TAD_16
HiC_scaffold_1	5850000	5860000	bZIP_1	24	+	1489	1498	TAD_16
HiC_scaffold_1	5850000	5860000	zf-C2H2	24	-	3083	3092	TAD_16
HiC_scaffold_1	5850000	5860000	zf-C2H2	24	-	9282	9292	TAD_16
HiC_scaffold_1	5850000	5860000	Myb_DNA-binding	24	-	3509	3518	TAD_16
HiC_scaffold_1	5850000	5860000	bZIP_1	24	+	8233	8243	TAD_16
HiC_scaffold_1	5850000	5860000	bZIP_1	24	+	5704	5714	TAD_16
HiC_scaffold_1	5850000	5860000	zf-C2H2	24	+	4969	4978	TAD_16
HiC_scaffold_1	5900000	5910000	CG-1	25	+	2013	2022	TAD_16
HiC_scaffold_1	5900000	5910000	Homeobox	25	-	8326	8336	TAD_16
HiC_scaffold_1	5900000	5910000	zf-C2H2	25	+	5937	5950	TAD_16
HiC_scaffold_1	5900000	5910000	E2F_TDP	25	-	4745	4756	TAD_16
HiC_scaffold_1	5900000	5910000	zf-C2H2	25	+	7	17	TAD_16
HiC_scaffold_1	5900000	5910000	CENP-B_N	25	+	4364	4373	TAD_16
HiC_scaffold_1	5900000	5910000	BrkDBD	25	+	7494	7504	TAD_16
HiC_scaffold_1	6565000	6570000	zf-C2H2	26	-	3982	3992	TAD_18
HiC_scaffold_1	6565000	6570000	HSF_DNA-bind	26	+	1985	1998	TAD_18
HiC_scaffold_1	6565000	6570000	Homeobox	26	+	89	99	TAD_18
HiC_scaffold_1	6565000	6570000	CSD	26	+	1682	1691	TAD_18
HiC_scaffold_1	6565000	6570000	HLH	26	-	1310	1319	TAD_18
HiC_scaffold_1	6565000	6570000	HLH	26	+	1310	1319	TAD_18
HiC_scaffold_1	6565000	6570000	HTH_psq	26	+	2919	2928	TAD_18
HiC_scaffold_1	6565000	6570000	HLH	26	-	3925	3934	TAD_18
HiC_scaffold_1	6565000	6570000	HLH	26	+	3925	3934	TAD_18
HiC_scaffold_1	6565000	6570000	Myb_DNA-binding	26	+	3994	4003	TAD_18
HiC_scaffold_1	6565000	6570000	Myb_DNA-binding	26	+	4018	4027	TAD_18
HiC_scaffold_1	6565000	6570000	bZIP_1	26	-	324	334	TAD_18
HiC_scaffold_1	6890000	6900000	zf-C2H2	27	+	7312	7322	TAD_18
HiC_scaffold_1	6890000	6900000	bZIP_1	27	+	3347	3356	TAD_18
HiC_scaffold_1	6890000	6900000	Myb_DNA-binding	27	-	5355	5364	TAD_18
HiC_scaffold_1	6890000	6900000	Myb_DNA-binding	27	+	1562	1572	TAD_18
HiC_scaffold_1	6890000	6900000	bZIP_1	27	-	9136	9145	TAD_18
HiC_scaffold_1	6890000	6900000	HSF_DNA-bind	27	+	7580	7589	TAD_18
HiC_scaffold_1	6890000	6900000	bZIP_1	27	-	9278	9288	TAD_18
HiC_scaffold_1	6890000	6900000	bZIP_1	27	-	9278	9289	TAD_18
HiC_scaffold_1	6890000	6900000	zf-C2H2	27	-	3077	3087	TAD_18
HiC_scaffold_1	6890000	6900000	zf-C2H2	27	+	9838	9847	TAD_18
HiC_scaffold_1	6930000	6940000	CG-1	28	-	6657	6666	TAD_18
HiC_scaffold_1	6930000	6940000	zf-C2H2	28	-	2913	2921	TAD_18
HiC_scaffold_1	6930000	6940000	zf-C2H2	28	+	8701	8709	TAD_18
HiC_scaffold_1	6930000	6940000	bZIP_1	28	+	3651	3660	TAD_18
HiC_scaffold_1	6930000	6940000	bZIP_1	28	-	7961	7970	TAD_18
HiC_scaffold_1	6930000	6940000	Homeobox	28	+	1614	1624	TAD_18
HiC_scaffold_1	6930000	6940000	CENP-B_N	28	-	9771	9781	TAD_18
HiC_scaffold_1	6930000	6940000	zf-C2H2	28	+	2323	2333	TAD_18
HiC_scaffold_1	6930000	6940000	zf-C2H2	28	+	5276	5286	TAD_18
HiC_scaffold_1	6930000	6940000	bZIP_1	28	-	6966	6976	TAD_18
HiC_scaffold_1	6930000	6940000	Myb_DNA-binding	28	-	5835	5844	TAD_18
HiC_scaffold_1	6940000	6950000	HTH_psq	29	+	2480	2488	TAD_18
HiC_scaffold_1	6940000	6950000	CG-1	29	-	2868	2877	TAD_18
HiC_scaffold_1	6940000	6950000	CG-1	29	+	4797	4806	TAD_18
HiC_scaffold_1	6940000	6950000	Homeobox	29	+	4737	4747	TAD_18
HiC_scaffold_1	6940000	6950000	zf-C2H2	29	-	3576	3586	TAD_18
HiC_scaffold_1	6940000	6950000	zf-C2H2	29	-	8471	8481	TAD_18
HiC_scaffold_1	6940000	6950000	bZIP_1	29	-	8470	8479	TAD_18
HiC_scaffold_1	6940000	6950000	Homeobox	29	-	4238	4248	TAD_18
HiC_scaffold_1	6940000	6950000	Myb_DNA-binding	29	-	2108	2117	TAD_18
HiC_scaffold_1	6940000	6950000	HSF_DNA-bind	29	-	8301	8310	TAD_18
HiC_scaffold_1	6940000	6950000	CENP-B_N	29	+	2410	2419	TAD_18
HiC_scaffold_1	6940000	6950000	CENP-B_N	29	-	1099	1110	TAD_18
HiC_scaffold_1	6940000	6950000	CENP-B_N	29	+	1099	1110	TAD_18
HiC_scaffold_1	6940000	6950000	BrkDBD	29	+	5880	5889	TAD_18
HiC_scaffold_1	6940000	6950000	Myb_DNA-binding	29	+	6222	6231	TAD_18
HiC_scaffold_1	7010000	7020000	HTH_psq	30	+	3956	3964	TAD_18
HiC_scaffold_1	7010000	7020000	Homeobox	30	+	176	185	TAD_18
HiC_scaffold_1	7010000	7020000	zf-C2H2	30	+	375	388	TAD_18
HiC_scaffold_1	7010000	7020000	zf-C2H2	30	+	2694	2704	TAD_18
HiC_scaffold_1	7010000	7020000	HSF_DNA-bind	30	-	3929	3942	TAD_18
HiC_scaffold_1	7010000	7020000	Homeobox	30	+	5183	5193	TAD_18
HiC_scaffold_1	7010000	7020000	E2F_TDP	30	+	2822	2833	TAD_18
HiC_scaffold_1	7010000	7020000	HLH	30	-	509	518	TAD_18
HiC_scaffold_1	7010000	7020000	HLH	30	+	824	833	TAD_18
HiC_scaffold_1	7010000	7020000	HLH	30	+	990	999	TAD_18
HiC_scaffold_1	7010000	7020000	bZIP_1	30	+	3871	3882	TAD_18
HiC_scaffold_1	7010000	7020000	zf-C2H2	30	+	1192	1202	TAD_18
HiC_scaffold_1	7010000	7020000	zf-C2H2	30	-	7778	7788	TAD_18
HiC_scaffold_1	7010000	7020000	zf-C2H2	30	-	931	941	TAD_18
HiC_scaffold_1	7010000	7020000	zf-C2H2	30	-	6393	6403	TAD_18
HiC_scaffold_1	7010000	7020000	HLH	30	-	7188	7197	TAD_18
HiC_scaffold_1	7010000	7020000	bZIP_1	30	-	8868	8878	TAD_18
HiC_scaffold_1	7010000	7020000	bZIP_1	30	+	7199	7209	TAD_18
HiC_scaffold_1	7010000	7020000	BrkDBD	30	+	1312	1321	TAD_18
HiC_scaffold_1	7180000	7190000	HTH_psq	31	-	9174	9182	TAD_18
HiC_scaffold_1	7180000	7190000	zf-C2H2	31	+	1684	1694	TAD_18
HiC_scaffold_1	7180000	7190000	zf-C2H2	31	+	1684	1697	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	+	5142	5151	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	-	1703	1713	TAD_18
HiC_scaffold_1	7180000	7190000	HSF_DNA-bind	31	+	9196	9209	TAD_18
HiC_scaffold_1	7180000	7190000	Homeobox	31	-	7845	7855	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	+	6867	6877	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	+	2417	2428	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	+	3900	3911	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	+	6866	6877	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	-	9256	9267	TAD_18
HiC_scaffold_1	7180000	7190000	CSD	31	+	5200	5209	TAD_18
HiC_scaffold_1	7180000	7190000	zf-C2H2	31	-	751	760	TAD_18
HiC_scaffold_1	7180000	7190000	HLH	31	+	5200	5209	TAD_18
HiC_scaffold_1	7180000	7190000	HLH	31	-	6226	6235	TAD_18
HiC_scaffold_1	7180000	7190000	CENP-B_N	31	+	4982	4993	TAD_18
HiC_scaffold_1	7180000	7190000	bZIP_1	31	+	978	992	TAD_18
HiC_scaffold_1	7180000	7190000	CENP-B_N	31	+	4983	4992	TAD_18
HiC_scaffold_1	7290000	7300000	zf-C2H2	32	+	8513	8526	TAD_18
HiC_scaffold_1	7290000	7300000	zf-C2H2	32	+	5201	5211	TAD_18
HiC_scaffold_1	7290000	7300000	HSF_DNA-bind	32	+	3977	3986	TAD_18
HiC_scaffold_1	7290000	7300000	Homeobox	32	+	8293	8303	TAD_18
HiC_scaffold_1	7290000	7300000	Myb_DNA-binding	32	-	4857	4866	TAD_18
HiC_scaffold_1	7290000	7300000	Myb_DNA-binding	32	-	2764	2774	TAD_18
HiC_scaffold_1	7290000	7300000	Myb_DNA-binding	32	+	3302	3312	TAD_18
HiC_scaffold_1	7290000	7300000	CENP-B_N	32	+	1022	1032	TAD_18
HiC_scaffold_1	7290000	7300000	zf-C2H2	32	-	7879	7889	TAD_18
HiC_scaffold_1	7290000	7300000	Myb_DNA-binding	32	-	3382	3391	TAD_18
HiC_scaffold_1	7550000	7560000	Homeobox	33	+	3745	3755	Boundary
HiC_scaffold_1	7550000	7560000	zf-C2H2	33	-	9573	9583	Boundary
HiC_scaffold_1	7550000	7560000	zf-C2H2	33	+	2597	2610	Boundary
HiC_scaffold_1	7550000	7560000	zf-C2H2	33	-	9570	9583	Boundary
HiC_scaffold_1	7550000	7560000	bZIP_1	33	+	4673	4682	Boundary
HiC_scaffold_1	7550000	7560000	bZIP_1	33	+	3621	3630	Boundary
HiC_scaffold_1	7550000	7560000	HSF_DNA-bind	33	-	7860	7873	Boundary
HiC_scaffold_1	7550000	7560000	Homeobox	33	+	9798	9808	Boundary
HiC_scaffold_1	7550000	7560000	bZIP_1	33	+	785	794	Boundary
HiC_scaffold_1	7550000	7560000	CSD	33	-	5539	5548	Boundary
HiC_scaffold_1	7550000	7560000	HLH	33	+	1659	1668	Boundary
HiC_scaffold_1	7550000	7560000	bZIP_1	33	+	7015	7025	Boundary
HiC_scaffold_1	7550000	7560000	BrkDBD	33	-	8795	8805	Boundary
HiC_scaffold_1	7550000	7560000	HSF_DNA-bind	33	+	7207	7220	Boundary
