Chromosome1	Start1	End1	Chromosome2	Start2	End2	OE_value	log2OE
HiC_scaffold_1	730000	740000	HiC_scaffold_2	370000	380000	46.02042007446289	5.524202247431948
HiC_scaffold_1	730000	740000	HiC_scaffold_2	600000	610000	56.36970520019531	5.816848117443152
HiC_scaffold_1	730000	740000	HiC_scaffold_2	990000	1000000	102.62934112548828	6.681299437724252
HiC_scaffold_1	730000	740000	HiC_scaffold_2	3360000	3370000	43.341064453125	5.437662681230496
HiC_scaffold_1	730000	740000	HiC_scaffold_2	3670000	3680000	58.164703369140625	5.862072029429918
HiC_scaffold_1	730000	740000	HiC_scaffold_2	4560000	4570000	33.28556442260742	5.056824727099961
HiC_scaffold_1	730000	740000	HiC_scaffold_2	5350000	5360000	34.93472671508789	5.126589949388597
HiC_scaffold_1	730000	740000	HiC_scaffold_2	5920000	5930000	45.53318405151367	5.508846442773213
HiC_scaffold_1	740000	750000	HiC_scaffold_2	0	10000	51.67845916748047	5.69149115051181
HiC_scaffold_1	740000	750000	HiC_scaffold_2	4970000	4980000	48.90353775024414	5.611866930414917
HiC_scaffold_1	740000	750000	HiC_scaffold_2	5240000	5250000	38.82719039916992	5.2789954100699825
HiC_scaffold_1	760000	770000	HiC_scaffold_2	2790000	2800000	105.63211822509766	6.722904753247917
HiC_scaffold_1	760000	770000	HiC_scaffold_2	5020000	5030000	38.34657287597656	5.261025741304796
HiC_scaffold_1	760000	770000	HiC_scaffold_2	5720000	5730000	36.44703674316406	5.187729618637769
HiC_scaffold_1	770000	780000	HiC_scaffold_2	1250000	1260000	68.1383285522461	6.090394653138156
HiC_scaffold_1	840000	850000	HiC_scaffold_2	2910000	2920000	35.587894439697266	5.1533146731054575
HiC_scaffold_1	1150000	1160000	HiC_scaffold_2	5770000	5780000	32.88862609863281	5.039516836654796
HiC_scaffold_1	1230000	1240000	HiC_scaffold_2	5810000	5820000	32.6453857421875	5.0288071835256725
HiC_scaffold_1	1330000	1340000	HiC_scaffold_2	2770000	2780000	65.64701080322266	6.0366574152583965
HiC_scaffold_1	1490000	1500000	HiC_scaffold_2	1160000	1170000	114.95896911621094	6.844975219507955
HiC_scaffold_1	1660000	1670000	HiC_scaffold_2	100000	110000	274.81842041015625	8.102334897510556
HiC_scaffold_1	1670000	1680000	HiC_scaffold_2	1580000	1590000	48.520111083984375	5.600510948316312
HiC_scaffold_1	1710000	1720000	HiC_scaffold_2	60000	70000	39.35442352294922	5.298453901800425
HiC_scaffold_1	1710000	1720000	HiC_scaffold_2	110000	120000	100.90229034423828	6.65681511179851
HiC_scaffold_1	1770000	1780000	HiC_scaffold_2	1570000	1580000	102.99839782714844	6.686478085777344
HiC_scaffold_1	1870000	1880000	HiC_scaffold_2	950000	960000	53.51042175292969	5.7417479947566
HiC_scaffold_1	1980000	1990000	HiC_scaffold_2	240000	250000	34.19345474243164	5.095648288000244
HiC_scaffold_1	1980000	1990000	HiC_scaffold_2	5270000	5280000	40.4470329284668	5.337961969696182
HiC_scaffold_1	2310000	2320000	HiC_scaffold_2	1380000	1390000	40.73163986206055	5.348077993521293
HiC_scaffold_1	2390000	2400000	HiC_scaffold_2	1010000	1020000	53.18743133544922	5.733013459179343
HiC_scaffold_1	2460000	2470000	HiC_scaffold_2	1380000	1390000	33.54566955566406	5.068054634373934
HiC_scaffold_1	2530000	2540000	HiC_scaffold_2	1180000	1190000	33.60006332397461	5.07039204685265
HiC_scaffold_1	2690000	2700000	HiC_scaffold_2	1400000	1410000	35.26362991333008	5.140109083113781
HiC_scaffold_1	2690000	2700000	HiC_scaffold_2	1410000	1420000	44.15729522705078	5.464579900109695
HiC_scaffold_1	2760000	2770000	HiC_scaffold_2	4140000	4150000	37.91767120361328	5.244798455585316
HiC_scaffold_1	2840000	2850000	HiC_scaffold_2	1160000	1170000	61.76201248168945	5.948647857694941
HiC_scaffold_1	2850000	2860000	HiC_scaffold_2	1560000	1570000	134.29164123535156	7.069225699129809
HiC_scaffold_1	2900000	2910000	HiC_scaffold_2	2770000	2780000	59.03093338012695	5.883399248331905
HiC_scaffold_1	2910000	2920000	HiC_scaffold_2	2770000	2780000	46.24520492553711	5.531231878056117
HiC_scaffold_1	2930000	2940000	HiC_scaffold_2	1380000	1390000	43.552364349365234	5.444679136157292
HiC_scaffold_1	2950000	2960000	HiC_scaffold_2	1560000	1570000	113.22345733642578	6.823029072653586
HiC_scaffold_1	2980000	2990000	HiC_scaffold_2	5810000	5820000	32.644317626953125	5.0287599796184
HiC_scaffold_1	2990000	3000000	HiC_scaffold_2	1160000	1170000	80.51972961425781	6.3312704225760195
HiC_scaffold_1	3000000	3010000	HiC_scaffold_2	5810000	5820000	64.32130432128906	6.0072247569821915
HiC_scaffold_1	3070000	3080000	HiC_scaffold_2	1380000	1390000	61.00971984863281	5.930967200847022
HiC_scaffold_1	3150000	3160000	HiC_scaffold_2	1580000	1590000	39.860107421875	5.3168736930923695
HiC_scaffold_1	3330000	3340000	HiC_scaffold_2	2930000	2940000	47.51628112792969	5.570350022603434
HiC_scaffold_1	3350000	3360000	HiC_scaffold_2	880000	890000	56.618812561035156	5.823209587503153
HiC_scaffold_1	3390000	3400000	HiC_scaffold_2	1200000	1210000	39.18465805053711	5.292217002114296
HiC_scaffold_1	3500000	3510000	HiC_scaffold_2	1560000	1570000	207.90362548828125	7.699771106356571
HiC_scaffold_1	3510000	3520000	HiC_scaffold_2	2920000	2930000	512.4180908203125	9.001177600419204
HiC_scaffold_1	3530000	3540000	HiC_scaffold_2	2680000	2690000	48.49895095825195	5.599881636750106
HiC_scaffold_1	3610000	3620000	HiC_scaffold_2	1650000	1660000	35.56214141845703	5.152270295342169
HiC_scaffold_1	3670000	3680000	HiC_scaffold_2	370000	380000	197.6461944580078	7.626776367095595
HiC_scaffold_1	3670000	3680000	HiC_scaffold_2	1700000	1710000	155.04299926757812	7.276524574480709
HiC_scaffold_1	3670000	3680000	HiC_scaffold_2	4390000	4400000	138.8203582763672	7.117075347248602
HiC_scaffold_1	3720000	3730000	HiC_scaffold_2	2650000	2660000	50.320369720458984	5.6530706171028395
HiC_scaffold_1	3740000	3750000	HiC_scaffold_2	1560000	1570000	143.61012268066406	7.16601363410621
HiC_scaffold_1	3740000	3750000	HiC_scaffold_2	2680000	2690000	41.51615524291992	5.375600938660073
HiC_scaffold_1	3790000	3800000	HiC_scaffold_2	2550000	2560000	61.61012649536133	5.9450955926247335
HiC_scaffold_1	3820000	3830000	HiC_scaffold_2	2650000	2660000	35.65655517578125	5.1560954240173995
HiC_scaffold_1	3920000	3930000	HiC_scaffold_2	2400000	2410000	137.58416748046875	7.104170651009455
HiC_scaffold_1	3920000	3930000	HiC_scaffold_2	5500000	5510000	113.86937713623047	6.831236005356741
HiC_scaffold_1	4090000	4100000	HiC_scaffold_2	3750000	3760000	33.8457145690918	5.0809012710418155
HiC_scaffold_1	4090000	4100000	HiC_scaffold_2	4050000	4060000	42.8394889831543	5.4208693656882705
HiC_scaffold_1	4100000	4110000	HiC_scaffold_2	2940000	2950000	38.86970138549805	5.280574119175846
HiC_scaffold_1	4200000	4210000	HiC_scaffold_2	3790000	3800000	33.00883865356445	5.0447804761555695
HiC_scaffold_1	4230000	4240000	HiC_scaffold_2	4320000	4330000	37.72901153564453	5.237602398287328
HiC_scaffold_1	4240000	4250000	HiC_scaffold_2	260000	270000	51.74880599975586	5.693453670579452
HiC_scaffold_1	4240000	4250000	HiC_scaffold_2	760000	770000	52.80454635620117	5.722590242713125
HiC_scaffold_1	4240000	4250000	HiC_scaffold_2	2020000	2030000	59.00132369995117	5.882675416716637
HiC_scaffold_1	4260000	4270000	HiC_scaffold_2	870000	880000	47.46500015258789	5.568792182679425
HiC_scaffold_1	4260000	4270000	HiC_scaffold_2	4110000	4120000	37.966854095458984	5.246668558187085
HiC_scaffold_1	4370000	4380000	HiC_scaffold_2	4120000	4130000	49.984676361083984	5.643413975250456
HiC_scaffold_1	4430000	4440000	HiC_scaffold_2	2550000	2560000	37.58681869506836	5.232154907393208
HiC_scaffold_1	4430000	4440000	HiC_scaffold_2	3200000	3210000	33.33795166015625	5.059093560323964
HiC_scaffold_1	4460000	4470000	HiC_scaffold_2	1580000	1590000	37.08076477050781	5.212599093954397
HiC_scaffold_1	4510000	4520000	HiC_scaffold_2	1210000	1220000	69.1161880493164	6.110951745924617
HiC_scaffold_1	4510000	4520000	HiC_scaffold_2	3530000	3540000	37.5960807800293	5.23251037024985
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	890000	900000	64.68468475341797	6.015352263893301
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	2760000	2770000	82.3665771484375	6.363987131761033
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	3220000	3230000	103.95790100097656	6.699855599743524
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	3450000	3460000	36.41814041137695	5.1865853519693115
HiC_scaffold_1	4520000	4530000	HiC_scaffold_2	3470000	3480000	41.23197555541992	5.365691681888915
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	40000	50000	77.7754898071289	6.281243670344104
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	390000	400000	32.453582763671875	5.020305850463418
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	430000	440000	67.46320343017578	6.07602891995999
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	1730000	1740000	34.94477462768555	5.127004837116679
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	2260000	2270000	34.24650573730469	5.097884888431048
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	3750000	3760000	77.81038665771484	6.281890843664345
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	3840000	3850000	42.88115310668945	5.422271796367162
HiC_scaffold_1	4530000	4540000	HiC_scaffold_2	4340000	4350000	32.97524642944336	5.043311535901936
HiC_scaffold_1	4540000	4550000	HiC_scaffold_2	370000	380000	65.39311981201172	6.031066948726252
HiC_scaffold_1	4540000	4550000	HiC_scaffold_2	2380000	2390000	68.86061096191406	6.105607076082925
HiC_scaffold_1	4550000	4560000	HiC_scaffold_2	1080000	1090000	47.27484130859375	5.56300071025565
HiC_scaffold_1	4550000	4560000	HiC_scaffold_2	1360000	1370000	58.87590408325195	5.879605403437152
HiC_scaffold_1	4550000	4560000	HiC_scaffold_2	3470000	3480000	39.77946090698242	5.313951819724353
HiC_scaffold_1	4560000	4570000	HiC_scaffold_2	2840000	2850000	70.78384399414062	6.145348205911571
HiC_scaffold_1	4680000	4690000	HiC_scaffold_2	1570000	1580000	83.4780044555664	6.383324208125063
HiC_scaffold_1	4690000	4700000	HiC_scaffold_2	1380000	1390000	52.24432373046875	5.707202393884602
HiC_scaffold_1	4880000	4890000	HiC_scaffold_2	4120000	4130000	53.181373596191406	5.732849135242427
HiC_scaffold_1	5090000	5100000	HiC_scaffold_2	1380000	1390000	33.978755950927734	5.086561127624841
HiC_scaffold_1	5110000	5120000	HiC_scaffold_2	1120000	1130000	38.730892181396484	5.275412829686393
HiC_scaffold_1	5110000	5120000	HiC_scaffold_2	1600000	1610000	35.273563385009766	5.140515421096786
HiC_scaffold_1	5120000	5130000	HiC_scaffold_2	2650000	2660000	38.25252151489258	5.257482944839884
HiC_scaffold_1	5230000	5240000	HiC_scaffold_2	1160000	1170000	56.3199577331543	5.8155743461532055
HiC_scaffold_1	5360000	5370000	HiC_scaffold_2	1210000	1220000	42.70781326293945	5.416428125494953
HiC_scaffold_1	5360000	5370000	HiC_scaffold_2	4140000	4150000	152.4638671875	7.25232356487012
HiC_scaffold_1	5370000	5380000	HiC_scaffold_2	4120000	4130000	98.75355529785156	6.62576078350242
HiC_scaffold_1	5460000	5470000	HiC_scaffold_2	1560000	1570000	155.71656799316406	7.282778642797539
HiC_scaffold_1	5490000	5500000	HiC_scaffold_2	2450000	2460000	36.55379104614258	5.1919491327981575
HiC_scaffold_1	5490000	5500000	HiC_scaffold_2	4440000	4450000	33.76338195800781	5.077387515806733
HiC_scaffold_1	5490000	5500000	HiC_scaffold_2	4790000	4800000	36.59452819824219	5.193556040352484
HiC_scaffold_1	5490000	5500000	HiC_scaffold_2	5740000	5750000	137.38473510742188	7.102077904205501
HiC_scaffold_1	5500000	5510000	HiC_scaffold_2	210000	220000	38.62221908569336	5.271359153322777
HiC_scaffold_1	5500000	5510000	HiC_scaffold_2	1370000	1380000	37.641326904296875	5.234245580671861
HiC_scaffold_1	5500000	5510000	HiC_scaffold_2	2660000	2670000	41.62206268310547	5.379276558013202
HiC_scaffold_1	5500000	5510000	HiC_scaffold_2	5260000	5270000	48.029335021972656	5.585843929131154
HiC_scaffold_1	5600000	5610000	HiC_scaffold_2	2650000	2660000	40.59935760498047	5.343384995020941
HiC_scaffold_1	5640000	5650000	HiC_scaffold_2	5310000	5320000	36.42378616333008	5.186808989611647
HiC_scaffold_1	5690000	5700000	HiC_scaffold_2	4690000	4700000	43.613224029541016	5.446693737898192
HiC_scaffold_1	5700000	5710000	HiC_scaffold_2	2950000	2960000	35.412776947021484	5.1461980741884314
HiC_scaffold_1	5710000	5720000	HiC_scaffold_2	5790000	5800000	45.58688735961914	5.510547001257287
HiC_scaffold_1	5740000	5750000	HiC_scaffold_2	5810000	5820000	32.41222381591797	5.0184661028351
HiC_scaffold_1	5770000	5780000	HiC_scaffold_2	1160000	1170000	86.2711181640625	6.430805749825177
HiC_scaffold_1	5810000	5820000	HiC_scaffold_2	1370000	1380000	43.40892028808594	5.439919633709528
HiC_scaffold_1	5820000	5830000	HiC_scaffold_2	5810000	5820000	67.21118927001953	6.070629526709566
HiC_scaffold_1	5840000	5850000	HiC_scaffold_2	1480000	1490000	43.02119445800781	5.426975675778551
HiC_scaffold_1	5880000	5890000	HiC_scaffold_2	5780000	5790000	40.99908447265625	5.3575197889716
HiC_scaffold_1	5990000	6000000	HiC_scaffold_2	5780000	5790000	57.3240852355957	5.841069522685589
HiC_scaffold_1	6020000	6030000	HiC_scaffold_2	5800000	5810000	43.22159957885742	5.43368056046243
HiC_scaffold_1	6040000	6050000	HiC_scaffold_2	1570000	1580000	95.26749420166016	6.573912137419901
HiC_scaffold_1	6070000	6080000	HiC_scaffold_2	3360000	3370000	33.24775695800781	5.0551851081413535
HiC_scaffold_1	6070000	6080000	HiC_scaffold_2	4350000	4360000	82.42777252197266	6.365058603764281
HiC_scaffold_1	6080000	6090000	HiC_scaffold_2	5810000	5820000	89.02843475341797	6.476194286314035
HiC_scaffold_1	6120000	6130000	HiC_scaffold_2	950000	960000	33.24770736694336	5.0551829562717945
HiC_scaffold_1	6130000	6140000	HiC_scaffold_2	210000	220000	69.56187438964844	6.120224902405602
HiC_scaffold_1	6130000	6140000	HiC_scaffold_2	320000	330000	32.27675247192383	5.0124235239261274
HiC_scaffold_1	6130000	6140000	HiC_scaffold_2	1280000	1290000	53.643741607666016	5.745337962453524
HiC_scaffold_1	6130000	6140000	HiC_scaffold_2	3550000	3560000	32.071083068847656	5.003201170577462
HiC_scaffold_1	6130000	6140000	HiC_scaffold_2	3560000	3570000	37.981468200683594	5.247223769856213
HiC_scaffold_1	6180000	6190000	HiC_scaffold_2	1370000	1380000	54.04310989379883	5.756038791373091
HiC_scaffold_1	6180000	6190000	HiC_scaffold_2	3360000	3370000	44.155513763427734	5.464521695444613
HiC_scaffold_1	6180000	6190000	HiC_scaffold_2	3490000	3500000	37.463138580322266	5.227399865386299
HiC_scaffold_1	6180000	6190000	HiC_scaffold_2	5760000	5770000	39.01160430908203	5.285831423707792
HiC_scaffold_1	6200000	6210000	HiC_scaffold_2	750000	760000	34.86983108520508	5.123907470383476
HiC_scaffold_1	6200000	6210000	HiC_scaffold_2	3830000	3840000	163.1036376953125	7.34964514856556
HiC_scaffold_1	6200000	6210000	HiC_scaffold_2	4520000	4530000	48.663509368896484	5.604768458865758
HiC_scaffold_1	6200000	6210000	HiC_scaffold_2	4810000	4820000	54.44689178466797	5.7667777868995485
HiC_scaffold_1	6200000	6210000	HiC_scaffold_2	5900000	5910000	54.5352668762207	5.769117588860432
HiC_scaffold_1	6230000	6240000	HiC_scaffold_2	4120000	4130000	47.95081329345703	5.5834833798802315
HiC_scaffold_1	6260000	6270000	HiC_scaffold_2	4690000	4700000	35.494937896728516	5.149541384518077
HiC_scaffold_1	6340000	6350000	HiC_scaffold_2	2360000	2370000	74.91844940185547	6.2272491351062875
HiC_scaffold_1	6360000	6370000	HiC_scaffold_2	5790000	5800000	39.46306228637695	5.302431006700272
HiC_scaffold_1	6380000	6390000	HiC_scaffold_2	1160000	1170000	117.44945526123047	6.875896211820076
HiC_scaffold_1	6430000	6440000	HiC_scaffold_2	1580000	1590000	50.61027145385742	5.661358307311129
HiC_scaffold_1	6510000	6520000	HiC_scaffold_2	2770000	2780000	52.76823425292969	5.721597803315818
HiC_scaffold_1	6560000	6570000	HiC_scaffold_2	4130000	4140000	34.0192756652832	5.088280518509802
HiC_scaffold_1	6610000	6620000	HiC_scaffold_2	1170000	1180000	60.75065231323242	5.924827994700645
HiC_scaffold_1	6610000	6620000	HiC_scaffold_2	4510000	4520000	38.65110778808594	5.272437859036826
HiC_scaffold_1	6620000	6630000	HiC_scaffold_2	680000	690000	32.58142852783203	5.02597795488455
HiC_scaffold_1	6620000	6630000	HiC_scaffold_2	890000	900000	71.29440307617188	6.155716918103641
HiC_scaffold_1	6620000	6630000	HiC_scaffold_2	4770000	4780000	34.45441818237305	5.106617090330675
HiC_scaffold_1	6620000	6630000	HiC_scaffold_2	5420000	5430000	67.33056640625	6.073189696179123
HiC_scaffold_1	6630000	6640000	HiC_scaffold_2	4410000	4420000	48.44532012939453	5.598285401348953
HiC_scaffold_1	6630000	6640000	HiC_scaffold_2	5190000	5200000	156.22714233398438	7.287501313605748
HiC_scaffold_1	6640000	6650000	HiC_scaffold_2	400000	410000	97.92707824707031	6.613635935831335
HiC_scaffold_1	6640000	6650000	HiC_scaffold_2	1620000	1630000	268.403564453125	8.068260020719306
HiC_scaffold_1	6650000	6660000	HiC_scaffold_2	1040000	1050000	78.63434600830078	6.297087687178371
HiC_scaffold_1	6650000	6660000	HiC_scaffold_2	1060000	1070000	110.69524383544922	6.790449425964472
HiC_scaffold_1	6650000	6660000	HiC_scaffold_2	4420000	4430000	32.72612762451172	5.032370997990302
HiC_scaffold_1	6670000	6680000	HiC_scaffold_2	4610000	4620000	33.86729049682617	5.081820665623939
HiC_scaffold_1	6670000	6680000	HiC_scaffold_2	4970000	4980000	33.00770568847656	5.044730957565033
HiC_scaffold_1	6740000	6750000	HiC_scaffold_2	5810000	5820000	44.33679962158203	5.470432730299846
HiC_scaffold_1	6820000	6830000	HiC_scaffold_2	3070000	3080000	37.0418815612793	5.211085477777707
HiC_scaffold_1	6830000	6840000	HiC_scaffold_2	4130000	4140000	33.18498992919922	5.052458931296895
HiC_scaffold_1	6850000	6860000	HiC_scaffold_2	100000	110000	55.369075775146484	5.791008535380537
HiC_scaffold_1	6900000	6910000	HiC_scaffold_2	5780000	5790000	32.39751434326172	5.017811223361045
HiC_scaffold_1	6910000	6920000	HiC_scaffold_2	3070000	3080000	36.71017074584961	5.198107919584087
HiC_scaffold_1	6990000	7000000	HiC_scaffold_2	5730000	5740000	45.220455169677734	5.498903608598475
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	1150000	1160000	73.75969696044922	6.204760823396544
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	2400000	2410000	52.64979553222656	5.718356023380224
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	2730000	2740000	49.99399948120117	5.643683041010416
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	2750000	2760000	58.83529281616211	5.878609921656274
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	2830000	2840000	39.94139099121094	5.319812671564534
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	4810000	4820000	63.51512145996094	5.989028199499611
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	5120000	5130000	49.44501495361328	5.627753170690104
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	5170000	5180000	70.68250274658203	6.143281219046238
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	5210000	5220000	41.79789733886719	5.385358463626812
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	5280000	5290000	87.38294219970703	6.44927977729419
HiC_scaffold_1	7020000	7030000	HiC_scaffold_2	5430000	5440000	49.03764724731445	5.615817857234625
HiC_scaffold_1	7060000	7070000	HiC_scaffold_2	4910000	4920000	75.06973266601562	6.230159440251373
HiC_scaffold_1	7060000	7070000	HiC_scaffold_2	4920000	4930000	63.71540451049805	5.9935703107618785
HiC_scaffold_1	7240000	7250000	HiC_scaffold_2	5810000	5820000	52.49983215332031	5.714240905247847
HiC_scaffold_1	7280000	7290000	HiC_scaffold_2	5800000	5810000	44.563560485839844	5.4777925988861345
HiC_scaffold_1	7320000	7330000	HiC_scaffold_2	4120000	4130000	60.33076477050781	5.9148219653941
HiC_scaffold_1	7340000	7350000	HiC_scaffold_2	5810000	5820000	32.15532684326172	5.006985848732146
HiC_scaffold_1	7420000	7430000	HiC_scaffold_2	5810000	5820000	95.93224334716797	6.583943889263445
HiC_scaffold_1	7460000	7470000	HiC_scaffold_2	5810000	5820000	33.64710235595703	5.072410362079808
HiC_scaffold_1	7510000	7520000	HiC_scaffold_2	4070000	4080000	36.492801666259766	5.189540010261899
HiC_scaffold_1	7520000	7530000	HiC_scaffold_2	1250000	1260000	45.493072509765625	5.507574969501783
HiC_scaffold_1	7520000	7530000	HiC_scaffold_2	5730000	5740000	39.06511688232422	5.2878090256089045
HiC_scaffold_1	7530000	7540000	HiC_scaffold_2	5810000	5820000	37.72866439819336	5.237589124263894
HiC_scaffold_1	7550000	7560000	HiC_scaffold_2	5810000	5820000	33.92080307006836	5.084098420787599
HiC_scaffold_1	7600000	7610000	HiC_scaffold_2	2550000	2560000	51.206424713134766	5.678252926993184
HiC_scaffold_1	7660000	7670000	HiC_scaffold_2	4310000	4320000	35.52407455444336	5.15072516087601
HiC_scaffold_1	7670000	7680000	HiC_scaffold_2	6000000	6010000	34.38448715209961	5.103685922706936
HiC_scaffold_1	7680000	7690000	HiC_scaffold_2	3900000	3910000	35.36525344848633	5.144260695440177
HiC_scaffold_1	7740000	7750000	HiC_scaffold_2	770000	780000	62.03466033935547	5.955002605995996
HiC_scaffold_1	7750000	7760000	HiC_scaffold_2	770000	780000	118.82562255859375	6.892702150092382
HiC_scaffold_1	7820000	7830000	HiC_scaffold_2	4120000	4130000	141.91085815429688	7.148841169631587
HiC_scaffold_1	7830000	7840000	HiC_scaffold_2	5970000	5980000	32.38380432128906	5.017200572592785
HiC_scaffold_1	7830000	7840000	HiC_scaffold_2	6000000	6010000	62.78636932373047	5.972379484521921
HiC_scaffold_1	8000000	8010000	HiC_scaffold_2	5810000	5820000	42.78478240966797	5.4190258483834635
HiC_scaffold_1	8010000	8020000	HiC_scaffold_2	4120000	4130000	49.80060958862305	5.638091496720898
HiC_scaffold_1	8030000	8040000	HiC_scaffold_2	5950000	5960000	41.87060546875	5.387865875168762
HiC_scaffold_1	8030000	8040000	HiC_scaffold_2	5960000	5970000	32.28834915161133	5.012941775180602
HiC_scaffold_1	8030000	8040000	HiC_scaffold_2	5970000	5980000	34.2466926574707	5.097892762754422
HiC_scaffold_1	8030000	8040000	HiC_scaffold_2	5980000	5990000	196.03858947753906	7.614993861298976
HiC_scaffold_1	8030000	8040000	HiC_scaffold_2	5990000	6000000	56.8328857421875	5.828654066307664
HiC_scaffold_1	8040000	8050000	HiC_scaffold_2	5970000	5980000	46.77592086791992	5.547694150673123
HiC_scaffold_1	8050000	8060000	HiC_scaffold_2	5730000	5740000	33.84332275390625	5.080799314800604
HiC_scaffold_1	8050000	8060000	HiC_scaffold_2	5960000	5970000	35.134708404541016	5.134825020058813
HiC_scaffold_1	8050000	8060000	HiC_scaffold_2	5980000	5990000	59.40261459350586	5.89245452722772
HiC_scaffold_1	8050000	8060000	HiC_scaffold_2	6000000	6010000	34.47569274902344	5.107507636199917
HiC_scaffold_1	8060000	8070000	HiC_scaffold_2	5970000	5980000	45.581058502197266	5.510362522740665
HiC_scaffold_1	8090000	8100000	HiC_scaffold_2	6000000	6010000	33.71516036987305	5.075325554907508
HiC_scaffold_1	8100000	8110000	HiC_scaffold_2	2370000	2380000	273.5986022949219	8.095917049869385
HiC_scaffold_1	8100000	8110000	HiC_scaffold_2	5280000	5290000	52.28679656982422	5.7083747788720895
HiC_scaffold_1	8130000	8140000	HiC_scaffold_2	4130000	4140000	42.15676498413086	5.397692256918941
HiC_scaffold_1	8130000	8140000	HiC_scaffold_2	5800000	5810000	72.46126556396484	6.179138098124209
HiC_scaffold_1	8160000	8170000	HiC_scaffold_2	5790000	5800000	63.1033935546875	5.97964568698698
HiC_scaffold_1	8160000	8170000	HiC_scaffold_2	5990000	6000000	83.70931243896484	6.387316222587484
HiC_scaffold_1	8170000	8180000	HiC_scaffold_2	5990000	6000000	42.921546936035156	5.4236301681096775
HiC_scaffold_1	8170000	8180000	HiC_scaffold_2	6000000	6010000	77.61105346679688	6.278190232429893
HiC_scaffold_1	8180000	8190000	HiC_scaffold_2	5990000	6000000	60.83757019042969	5.92689062887976
HiC_scaffold_1	8180000	8190000	HiC_scaffold_2	6000000	6010000	59.83600997924805	5.902942070663164
HiC_scaffold_1	8200000	8210000	HiC_scaffold_2	1190000	1200000	44.72873306274414	5.483129989604072
HiC_scaffold_1	8200000	8210000	HiC_scaffold_2	5250000	5260000	42.403079986572266	5.406097154958189
HiC_scaffold_1	8200000	8210000	HiC_scaffold_2	6000000	6010000	50.05087661743164	5.64532343229121
HiC_scaffold_1	8210000	8220000	HiC_scaffold_2	5780000	5790000	67.13429260253906	6.068977986942038
